UniqueID,Probability1
11862,0.346
11863,0.334
11864,0.554
11865,0.408
11866,0.554
11867,0.5
11868,0.664
11869,0.52
11870,0.292
11871,0.96
11872,0.352
11873,0.252
11874,0.434
11875,0.9999
11876,0.462
11877,0.416
11878,0.538
11879,0.322
11880,0.578
11881,0.23
11882,0.434
11883,0.456
11884,0.382
11885,0.112
11886,0.69
11887,0.498
11888,0.312
11889,0.184
11890,0.202
11891,0.62
11892,0.368
11893,0.546
11894,0.416
11895,0.52
11896,0.38
11897,0.504
11898,0.456
11899,0.174
11900,0.328
11901,0.202
11902,0.666
11903,0.264
11904,0.406
11905,0.432
11906,0.53
11907,0.036
11908,0.36
11909,0.414
11910,0.392
11911,0.274
11912,0.128
11913,0.9999
11914,0.384
11915,0.526
11916,0.282
11917,0.564
11918,0.3
11919,0.366
11920,0.468
11921,0.424
11922,0.69
11923,0.56
11924,0.176
11925,0.7
11926,0.474
11927,0.402
11928,0.648
11929,0.398
11930,0.576
11931,0.678
11932,0.148
11933,0.366
11934,0.556
11935,0.422
11936,0.61
11937,0.974
11938,0.17
11939,0.512
11940,0.428
11941,0.238
11942,0.624
11943,0
11944,0.522
11945,0.632
11946,0.41
11947,0.672
11948,0.296
11949,0.54
11950,0.52
11951,0.48
11952,0.346
11953,0.574
11954,0.434
11955,0.8
11956,0.576
11957,0.376
11958,0.45
11959,0.634
11960,0.606
11961,0.574
11962,0.524
11963,0.302
11964,0.696
11965,0.48
11966,0.632
11967,0.9999
11968,0.52
11969,0.398
11970,0.658
11971,0.338
11972,0.584
11973,0.562
11974,0.608
11975,0.734
11976,0.398
11977,0.538
11978,0.534
11979,0.532
11980,0.316
11981,0.66
11982,0.648
11983,0.564
11984,0.482
11985,0.57
11986,0.264
11987,0.558
11988,0.428
11989,0.736
11990,0.9999
11991,0.942
11992,0.648
11993,0.652
11994,0.9999
11995,0.262
11996,0.65
11997,0.432
11998,0.184
11999,0.724
12000,0.9999
12001,0.558
12002,0.9999
12003,0.668
12004,0.784
12005,0.568
12006,0.544
12007,0.618
12008,0.272
12009,0.504
12010,0.65
12011,0.742
12012,0.462
12013,0.504
12014,0.636
12015,0.558
12016,0.658
12017,0.53
12018,0.544
12019,0.504
12020,0.48
12021,0.9999
12022,0.492
12023,0.508
12024,0.478
12025,0.678
12026,0.578
12027,0.532
12028,0.208
12029,0.614
12030,0.55
12031,0.694
12032,0.67
12033,0.506
12034,0.694
12035,0.426
12036,0.266
12037,0.442
12038,0.528
12039,0.328
12040,0.442
12041,0.244
12042,0.59
12043,0.326
12044,0.69
12045,0.508
12046,0.442
12047,0.552
12048,0.528
12049,0.586
12050,0.026
12051,0.438
12052,0.146
12053,0.484
12054,0.366
12055,0.532
12056,0.586
12057,0.372
12058,0.324
12059,0.242
12060,0.244
12061,0.546
12062,0.728
12063,0.2
12064,0.7
12065,0.762
12066,0.398
12067,0.532
12068,0.474
12069,0.346
12070,0.406
12071,0.394
12072,0.788
12073,0.336
12074,0.476
12075,0.524
12076,0.586
12077,0.294
12078,0.288
12079,0.47
12080,0.412
12081,0.56
12082,0.484
12083,0.596
12084,0.692
12085,0.16
12086,0.394
12087,0.702
12088,0.436
12089,0.59
12090,0.63
12091,0.664
12092,0.454
12093,0.208
12094,0.502
12095,0.418
12096,0.404
12097,0.686
12098,0.132
12099,0.476
12100,0.294
12101,0.292
12102,0.576
12103,0.442
12104,0.574
12105,0.522
12106,0.36
12107,0.59
12108,0.264
12109,0.782
12110,0.402
12111,0.98
12112,0.496
12113,0.484
12114,0.9999
12115,0
12116,0.618
12117,0.34
12118,0.518
12119,0.254
12120,0.506
12121,0.718
12122,0.254
12123,0.734
12124,0.68
12125,0.562
12126,0.9999
12127,0.554
12128,0.17
12129,0.678
12130,0.73
12131,0.594
12132,0.15
12133,0.37
12134,0.64
12135,0.328
12136,0.498
12137,0.182
12138,0.366
12139,0.556
12140,0.266
12141,0.154
12142,0.268
12143,0.312
12144,0.384
12145,0.652
12146,0.69
12147,0.706
12148,0.464
12149,0.692
12150,0.294
12151,0.496
12152,0.9999
12153,0.286
12154,0.516
12155,0.368
12156,0.648
12157,0.666
12158,0.312
12159,0.492
12160,0.476
12161,0.616
12162,0.592
12163,0.492
12164,0.282
12165,0.292
12166,0.568
12167,0.316
12168,0.382
12169,0.522
12170,0.506
12171,0.366
12172,0.9999
12173,0.682
12174,0.388
12175,0.474
12176,0.474
12177,0.592
12178,0.436
12179,0.188
12180,0.474
12181,0.596
12182,0.608
12183,0.206
12184,0.282
12185,0.214
12186,0.176
12187,0.504
12188,0.462
12189,0.514
12190,0.716
12191,0.202
12192,0.416
12193,0.23
12194,0.222
12195,0.442
12196,0.63
12197,0.538
12198,0.456
12199,0.386
12200,0.468
12201,0.582
12202,0.418
12203,0.18
12204,0.15
12205,0.606
12206,0.51
12207,0.334
12208,0.544
12209,0.31
12210,0.28
12211,0.31
12212,0.128
12213,0.9999
12214,0.672
12215,0.752
12216,0.34
12217,0.438
12218,0.168
12219,0.252
12220,0.364
12221,0.516
12222,0.378
12223,0.354
12224,0.63
12225,0.346
12226,0.518
12227,0.57
12228,0.512
12229,0.438
12230,0.344
12231,0.682
12232,0.622
12233,0.8
12234,0.534
12235,0.412
12236,0.356
12237,0.66
12238,0.576
12239,0.502
12240,0.65
12241,0.168
12242,0.46
12243,0.27
12244,0.448
12245,0.634
12246,0.414
12247,0.534
12248,0.638
12249,0.248
12250,0.532
12251,0.43
12252,0.336
12253,0
12254,0.736
12255,0.372
12256,0.45
12257,0.182
12258,0.448
12259,0.216
12260,0.684
12261,0.242
12262,0.392
12263,0.584
12264,0.622
12265,0.568
12266,0.352
12267,0.354
12268,0.198
12269,0.4
12270,0.222
12271,0.716
12272,0.666
12273,0.418
12274,0.214
12275,0.16
12276,0.468
12277,0.314
12278,0.9999
12279,0.176
12280,0.208
12281,0.472
12282,0.374
12283,0.252
12284,0.312
12285,0
12286,0.344
12287,0.506
12288,0.594
12289,0.3
12290,0.322
12291,0.144
12292,0.174
12293,0.198
12294,0.436
12295,0.34
12296,0.486
12297,0.186
12298,0.49
12299,0.722
12300,0.286
12301,0.21
12302,0.204
12303,0.35
12304,0.33
12305,0.586
12306,0.34
12307,0.27
12308,0.656
12309,0.452
12310,0.718
12311,0.27
12312,0.484
12313,0.306
12314,0.37
12315,0.392
12316,0.324
12317,0.306
12318,0.302
12319,0.45
12320,0.21
12321,0.284
12322,0.62
12323,0.366
12324,0.54
12325,0.322
12326,0.428
12327,0.408
12328,0.286
12329,0.336
12330,0.34
12331,0.372
12332,0.716
12333,0.358
12334,0.358
12335,0.216
12336,0.252
12337,0.214
12338,0.332
12339,0.526
12340,0.706
12341,0.28
12342,0.19
12343,0.368
12344,0.238
12345,0.538
12346,0.71
12347,0.45
12348,0.672
12349,0.346
12350,0.284
12351,0.308
12352,0.464
12353,0.206
12354,0.582
12355,0.266
12356,0.476
12357,0.254
12358,0.24
12359,0.506
12360,0.13
12361,0.136
12362,0.392
12363,0.296
12364,0.132
12365,0.402
12366,0.478
12367,0
12368,0.284
12369,0.282
12370,0.346
12371,0.35
12372,0.268
12373,0.456
12374,0.742
12375,0.272
12376,0.558
12377,0.34
12378,0.4
12379,0.286
12380,0.232
12381,0.37
12382,0.298
12383,0.458
12384,0.346
12385,0.444
12386,0.43
12387,0.422
12388,0
12389,0.184
12390,0.3
12391,0.454
12392,0.634
12393,0.388
12394,0.346
12395,0.298
12396,0.432
12397,0.462
12398,0.456
12399,0.346
12400,0.4
12401,0.468
12402,0.19
12403,0.394
12404,0.214
12405,0.324
12406,0.532
12407,0.356
12408,0.554
12409,0.194
12410,0.264
12411,0.312
12412,0.296
12413,0.598
12414,0.308
12415,0.584
12416,0.374
12417,0.182
12418,0.292
12419,0.508
12420,0.32
12421,0.39
