UniqueID,Probability1
11862,0.302
11863,0.438
11864,0.272
11865,0.734
11866,0.462
11867,0.146
11868,0.442
11869,0.35
11870,0.288
11871,0.9999
11872,0.208
11873,0.23
11874,0.528
11875,0.9999
11876,0.59
11877,0.204
11878,0.46
11879,0.36
11880,0.568
11881,0.198
11882,0.164
11883,0.49
11884,0.132
11885,0.156
11886,0.792
11887,0.292
11888,0.362
11889,0.204
11890,0.406
11891,0.718
11892,0.286
11893,0.36
11894,0.306
11895,0.246
11896,0.096
11897,0.39
11898,0.284
11899,0.202
11900,0.258
11901,0.266
11902,0.628
11903,0.066
11904,0.452
11905,0.18
11906,0.724
11907,0
11908,0.254
11909,0.204
11910,0.41
11911,0.044
11912,0.324
11913,0.9999
11914,0.262
11915,0.436
11916,0.03
11917,0.74
11918,0.662
11919,0.324
11920,0.232
11921,0.122
11922,0.844
11923,0.676
11924,0.204
11925,0.808
11926,0.282
11927,0.686
11928,0.308
11929,0.412
11930,0.712
11931,0.864
11932,0.386
11933,0.358
11934,0.436
11935,0.436
11936,0.31
11937,0.9999
11938,0.22
11939,0.134
11940,0.318
11941,0.22
11942,0.678
11943,0
11944,0.558
11945,0.808
11946,0.734
11947,0.756
11948,0.56
11949,0.714
11950,0.622
11951,0.35
11952,0.078
11953,0.67
11954,0.33
11955,0.796
11956,0.712
11957,0.488
11958,0.252
11959,0.668
11960,0.74
11961,0.742
11962,0.208
11963,0.14
11964,0.748
11965,0.35
11966,0.836
11967,0.9999
11968,0.574
11969,0.538
11970,0.702
11971,0.418
11972,0.562
11973,0.832
11974,0.716
11975,0.864
11976,0.246
11977,0.78
11978,0.296
11979,0.726
11980,0.588
11981,0.694
11982,0.67
11983,0.706
11984,0.61
11985,0.712
11986,0.436
11987,0.614
11988,0.23
11989,0.734
11990,0.9999
11991,0.712
11992,0.724
11993,0.744
11994,0.574
11995,0.298
11996,0.778
11997,0.28
11998,0.128
11999,0.708
12000,0.9999
12001,0.668
12002,0.9999
12003,0.818
12004,0.83
12005,0.712
12006,0.31
12007,0.652
12008,0.246
12009,0.682
12010,0.738
12011,0.75
12012,0.358
12013,0.292
12014,0.654
12015,0.668
12016,0.44
12017,0.726
12018,0.718
12019,0.57
12020,0.562
12021,0.9999
12022,0.654
12023,0.728
12024,0.45
12025,0.88
12026,0.624
12027,0.6
12028,0.222
12029,0.476
12030,0.714
12031,0.762
12032,0.482
12033,0.33
12034,0.264
12035,0.152
12036,0.264
12037,0.416
12038,0.458
12039,0.456
12040,0.242
12041,0.33
12042,0.722
12043,0.088
12044,0.756
12045,0.264
12046,0.262
12047,0.032
12048,0.598
12049,0.718
12050,0.218
12051,0.416
12052,0.39
12053,0.218
12054,0.324
12055,0.726
12056,0.714
12057,0.5
12058,0.314
12059,0.308
12060,0.492
12061,0.608
12062,0.742
12063,0.33
12064,0.486
12065,0.854
12066,0.33
12067,0.678
12068,0.298
12069,0.054
12070,0.032
12071,0.352
12072,0.9999
12073,0.288
12074,0.324
12075,0.25
12076,0.714
12077,0.488
12078,0.242
12079,0.394
12080,0.292
12081,0.504
12082,0.736
12083,0.788
12084,0.846
12085,0.204
12086,0.352
12087,0.822
12088,0.35
12089,0.78
12090,0.742
12091,0.768
12092,0.236
12093,0.286
12094,0.624
12095,0.476
12096,0.446
12097,0.82
12098,0.198
12099,0.262
12100,0.536
12101,0.242
12102,0.65
12103,0.134
12104,0.726
12105,0.612
12106,0.274
12107,0.702
12108,0.26
12109,0.468
12110,0.484
12111,0.894
12112,0.296
12113,0.592
12114,0.9999
12115,0
12116,0.576
12117,0.228
12118,0.662
12119,0.33
12120,0.298
12121,0.75
12122,0.228
12123,0.7
12124,0.838
12125,0.714
12126,0.9999
12127,0.682
12128,0.446
12129,0.548
12130,0.85
12131,0.5
12132,0.246
12133,0.22
12134,0.814
12135,0.354
12136,0.84
12137,0.244
12138,0.3
12139,0.608
12140,0.28
12141,0.23
12142,0.26
12143,0.538
12144,0.04
12145,0.634
12146,0.786
12147,0.832
12148,0.424
12149,0.862
12150,0.128
12151,0.612
12152,0.9999
12153,0.148
12154,0.258
12155,0.302
12156,0.842
12157,0.62
12158,0.386
12159,0.124
12160,0.348
12161,0.576
12162,0.488
12163,0.312
12164,0.456
12165,0.306
12166,0.674
12167,0.222
12168,0.656
12169,0.79
12170,0.572
12171,0.348
12172,0.9999
12173,0.834
12174,0.482
12175,0.55
12176,0.468
12177,0.648
12178,0.094
12179,0.432
12180,0.376
12181,0.722
12182,0.466
12183,0.256
12184,0.456
12185,0.25
12186,0.216
12187,0.246
12188,0.436
12189,0.328
12190,0.758
12191,0.206
12192,0.288
12193,0.2
12194,0.364
12195,0.352
12196,0.67
12197,0.092
12198,0.428
12199,0.274
12200,0.58
12201,0.714
12202,0.07
12203,0.214
12204,0.238
12205,0.472
12206,0.614
12207,0.26
12208,0.498
12209,0.32
12210,0.168
12211,0.388
12212,0.194
12213,0.9999
12214,0.74
12215,0.864
12216,0.16
12217,0.276
12218,0.328
12219,0.402
12220,0.358
12221,0.492
12222,0.25
12223,0.216
12224,0.44
12225,0.412
12226,0.306
12227,0.682
12228,0.296
12229,0.528
12230,0.312
12231,0.794
12232,0.786
12233,0.904
12234,0.726
12235,0.492
12236,0.352
12237,0.792
12238,0.7
12239,0.46
12240,0.838
12241,0.262
12242,0.094
12243,0.208
12244,0.616
12245,0.82
12246,0.44
12247,0.092
12248,0.738
12249,0.278
12250,0.07
12251,0.242
12252,0.224
12253,0
12254,0.83
12255,0.164
12256,0.462
12257,0.208
12258,0.168
12259,0.044
12260,0.82
12261,0.288
12262,0.058
12263,0.64
12264,0.668
12265,0.652
12266,0.032
12267,0.044
12268,0.352
12269,0.16
12270,0.202
12271,0.696
12272,0.264
12273,0.338
12274,0.234
12275,0.23
12276,0.08
12277,0.326
12278,0.9999
12279,0.418
12280,0.222
12281,0.094
12282,0.164
12283,0.228
12284,0.072
12285,0
12286,0.348
12287,0.396
12288,0.048
12289,0.222
12290,0.298
12291,0.24
12292,0.186
12293,0.148
12294,0.036
12295,0.478
12296,0.062
12297,0.258
12298,0.374
12299,0.864
12300,0.09
12301,0.428
12302,0.348
12303,0.282
12304,0.344
12305,0.728
12306,0.068
12307,0.222
12308,0.796
12309,0.3
12310,0.724
12311,0.122
12312,0.118
12313,0.034
12314,0.284
12315,0.37
12316,0.25
12317,0.066
12318,0.362
12319,0.12
12320,0.078
12321,0.128
12322,0.718
12323,0.128
12324,0.532
12325,0.338
12326,0.18
12327,0.372
12328,0.034
12329,0.098
12330,0.058
12331,0.316
12332,0.698
12333,0.16
12334,0.024
12335,0.124
12336,0.108
12337,0.47
12338,0.024
12339,0.292
12340,0.822
12341,0.072
12342,0.37
12343,0.208
12344,0.278
12345,0.178
12346,0.6
12347,0.602
12348,0.83
12349,0.132
12350,0.106
12351,0.05
12352,0.672
12353,0.828
12354,0.702
12355,0.384
12356,0.162
12357,0.316
12358,0.418
12359,0.32
12360,0.174
12361,0.214
12362,0.39
12363,0.07
12364,0.194
12365,0.032
12366,0.496
12367,0
12368,0.234
12369,0.148
12370,0.344
12371,0.054
12372,0.366
12373,0.608
12374,0.766
12375,0.184
12376,0.248
12377,0.244
12378,0.272
12379,0.134
12380,0.356
12381,0.318
12382,0.412
12383,0.34
12384,0.314
12385,0.12
12386,0.194
12387,0.154
12388,0
12389,0.164
12390,0.082
12391,0.316
12392,0.752
12393,0.146
12394,0.216
12395,0.074
12396,0.256
12397,0.08
12398,0.306
12399,0.378
12400,0.126
12401,0.48
12402,0.462
12403,0.322
12404,0.07
12405,0.118
12406,0.528
12407,0.272
12408,0.29
12409,0.464
12410,0.23
12411,0.196
12412,0.048
12413,0.598
12414,0.108
12415,0.342
12416,0.236
12417,0.13
12418,0.092
12419,0.15
12420,0.444
12421,0.212
12422,0.072
12423,0.084
12424,0.042
12425,0.07
12426,0.15
12427,0.066
12428,0.312
12429,0.256
12430,0.316
12431,0.058
12432,0.672
12433,0.2
12434,0.344
12435,0.29
12436,0.168
12437,0.612
12438,0.11
12439,0.082
12440,0.588
12441,0.13
12442,0.152
12443,0.21
12444,0.06
12445,0.118
12446,0.53
12447,0.456
12448,0.52
12449,0.142
12450,0.182
12451,0.046
12452,0.134
12453,0.05
12454,0.026
12455,0.276
12456,0.656
12457,0.094
12458,0.072
12459,0.452
12460,0.14
12461,0.684
12462,0.102
12463,0.252
12464,0.17
12465,0.346
12466,0.462
12467,0.78
12468,0.088
12469,0.116
12470,0.226
12471,0.498
12472,0.146
12473,0.176
12474,0.21
12475,0.294
12476,0.178
12477,0.33
12478,0.35
12479,0.41
12480,0.41
12481,0.41
12482,0.32
12483,0.328
12484,0.2
12485,0.332
12486,0.388
12487,0.35
12488,0.412
12489,0.248
12490,0.662
12491,0.9999
12492,0.196
12493,0.61
12494,0.196
12495,0.174
12496,0.208
12497,0.442
12498,0.744
12499,0.2
12500,0.228
12501,0.236
12502,0.38
12503,0.26
12504,0.276
12505,0.986
12506,0.2
12507,0.398
12508,0.202
12509,0.22
12510,0.276
12511,0.286
12512,0.36
12513,0.32
12514,0.07
12515,0.374
12516,0.394
12517,0.572
12518,0.174
12519,0.46
12520,0.048
12521,0.164
12522,0.16
12523,0.144
12524,0.264
12525,0.152
12526,0.15
12527,0.108
12528,0.138
12529,0.43
12530,0.112
12531,0.474
12532,0.054
12533,0.196
12534,0.262
12535,0.38
12536,0.206
12537,0.076
12538,0.334
12539,0.056
12540,0.47
12541,0.036
12542,0.288
12543,0.41
12544,0.214
12545,0.254
12546,0.14
12547,0.12
12548,0.092
12549,0.326
12550,0.416
12551,0.41
12552,0.166
12553,0.3
12554,0.186
12555,0.558
12556,0.568
12557,0.52
12558,0.52
12559,0.648
12560,0.398
12561,0.242
12562,0.482
12563,0.56
12564,0.606
12565,0.582
12566,0.846
12567,0.814
12568,0.638
12569,0.486
12570,0.628
12571,0.824
12572,0.666
12573,0.628
12574,0.134
12575,0.578
12576,0.874
12577,0.59
12578,0.324
12579,0.562
12580,0.476
12581,0.632
12582,0.408
12583,0.308
12584,0.594
12585,0
12586,0.65
12587,0.586
