UniqueID,Probability1
11862,0.24
11863,0.39
11864,0.378
11865,0.496
11866,0.524
11867,0.298
11868,0.574
11869,0.41
11870,0.442
11871,0.994
11872,0.254
11873,0.36
11874,0.422
11875,0.986
11876,0.332
11877,0.368
11878,0.648
11879,0.192
11880,0.56
11881,0.292
11882,0.256
11883,0.176
11884,0.422
11885,0.122
11886,0.754
11887,0.378
11888,0.496
11889,0.112
11890,0.278
11891,0.792
11892,0.216
11893,0.628
11894,0.374
11895,0.346
11896,0.364
11897,0.264
11898,0.574
11899,0.324
11900,0.27
11901,0.336
11902,0.526
11903,0.086
11904,0.36
11905,0.32
11906,0.498
11907,0
11908,0.198
11909,0.328
11910,0.314
11911,0.258
11912,0.128
11913,0.526
11914,0.376
11915,0.434
11916,0.224
11917,0.45
11918,0.586
11919,0.396
11920,0.406
11921,0.256
11922,0.726
11923,0.69
11924,0.34
11925,0.858
11926,0.266
11927,0.544
11928,0.204
11929,0.322
11930,0.692
11931,0.824
11932,0.092
11933,0.342
11934,0.542
11935,0.204
11936,0.254
11937,0.526
11938,0.296
11939,0.366
11940,0.332
11941,0.376
11942,0.608
11943,0.366
11944,0.528
11945,0.8
11946,0.486
11947,0.838
11948,0.414
11949,0.498
11950,0.438
11951,0.45
11952,0.33
11953,0.682
11954,0.232
11955,0.654
11956,0.692
11957,0.386
11958,0.32
11959,0.774
11960,0.638
11961,0.67
11962,0.312
11963,0.238
11964,0.646
11965,0.45
11966,0.78
11967,0.94
11968,0.64
11969,0.282
11970,0.694
11971,0.574
11972,0.404
11973,0.846
11974,0.732
11975,0.882
11976,0.368
11977,0.67
11978,0.428
11979,0.778
11980,0.624
11981,0.59
11982,0.606
11983,0.7
11984,0.542
11985,0.692
11986,0.324
11987,0.494
11988,0.378
11989,0.81
11990,0.516
11991,0.55
11992,0.53
11993,0.804
11994,0.962
11995,0.348
11996,0.742
11997,0.466
11998,0.14
11999,0.77
12000,0.94
12001,0.516
12002,0.668
12003,0.878
12004,0.786
12005,0.49
12006,0.45
12007,0.504
12008,0.314
12009,0.37
12010,0.782
12011,0.812
12012,0.284
12013,0.444
12014,0.66
12015,0.516
12016,0.486
12017,0.778
12018,0.75
12019,0.48
12020,0.48
12021,0.988
12022,0.432
12023,0.57
12024,0.246
12025,0.908
12026,0.734
12027,0.708
12028,0.236
12029,0.376
12030,0.76
12031,0.844
12032,0.694
12033,0.49
12034,0.618
12035,0.236
12036,0.308
12037,0.362
12038,0.488
12039,0.562
12040,0.316
12041,0.512
12042,0.526
