UniqueID,Probability1
11862,0.27
11863,0.352
11864,0.304
11865,0.49
11866,0.448
11867,0.264
11868,0.466
11869,0.306
11870,0.39
11871,0.994
11872,0.266
11873,0.34
11874,0.46
11875,0.624
11876,0.314
11877,0.464
11878,0.558
11879,0.212
11880,0.558
11881,0.404
11882,0.208
11883,0.166
11884,0.352
11885,0.074
11886,0.658
11887,0.326
11888,0.284
11889,0.182
11890,0.316
11891,0.83
11892,0.224
11893,0.544
11894,0.414
11895,0.212
11896,0.24
11897,0.278
11898,0.612
11899,0.278
11900,0.36
11901,0.37
11902,0.486
11903,0.13
11904,0.304
11905,0.242
11906,0.512
11907,0.348
11908,0.23
11909,0.252
11910,0.386
11911,0.244
11912,0.13
11913,0.546
11914,0.394
11915,0.28
11916,0.124
11917,0.374
11918,0.602
11919,0.446
11920,0.334
11921,0.136
11922,0.714
11923,0.792
11924,0.354
11925,0.9
11926,0.286
11927,0.56
11928,0.246
11929,0.376
11930,0.83
11931,0.892
11932,0.116
11933,0.44
11934,0.466
11935,0.292
11936,0.254
11937,0.54
11938,0.372
11939,0.246
11940,0.424
11941,0.474
11942,0.586
11943,0.356
11944,0.578
11945,0.906
11946,0.48
11947,0.854
11948,0.51
11949,0.53
11950,0.574
11951,0.43
11952,0.14
11953,0.808
11954,0.256
11955,0.736
11956,0.83
11957,0.48
11958,0.238
11959,0.794
11960,0.708
11961,0.638
11962,0.266
11963,0.238
11964,0.626
11965,0.43
11966,0.762
11967,0.982
11968,0.588
11969,0.428
11970,0.712
11971,0.562
11972,0.422
11973,0.898
11974,0.844
11975,0.858
11976,0.504
11977,0.688
11978,0.462
11979,0.818
11980,0.642
11981,0.54
11982,0.642
11983,0.81
11984,0.576
11985,0.83
11986,0.404
11987,0.508
11988,0.306
11989,0.818
11990,0.522
11991,0.57
11992,0.582
11993,0.854
11994,0.784
11995,0.418
11996,0.748
11997,0.462
11998,0.17
11999,0.844
12000,0.982
12001,0.61
12002,0.778
12003,0.886
12004,0.806
12005,0.56
12006,0.55
12007,0.556
12008,0.35
12009,0.404
12010,0.75
12011,0.816
12012,0.394
12013,0.318
12014,0.692
12015,0.61
12016,0.61
12017,0.818
12018,0.796
12019,0.56
12020,0.506
12021,0.52
12022,0.452
12023,0.562
12024,0.296
12025,0.89
12026,0.7
12027,0.656
12028,0.316
12029,0.442
12030,0.792
12031,0.866
12032,0.624
12033,0.522
12034,0.602
12035,0.216
12036,0.202
12037,0.378
12038,0.436
12039,0.584
12040,0.3
12041,0.504
12042,0.61
12043,0.172
12044,0.674
12045,0.42
12046,0.49
12047,0.092
12048,0.51
12049,0.574
12050,0.254
12051,0.424
12052,0.214
12053,0.408
12054,0.446
12055,0.536
12056,0.67
12057,0.338
12058,0.426
12059,0.476
12060,0.3
12061,0.764
12062,0.84
12063,0.404
12064,0.636
12065,0.576
12066,0.47
12067,0.568
12068,0.682
12069,0.17
12070,0.144
12071,0.312
12072,0.988
12073,0.218
12074,0.464
12075,0.486
12076,0.748
12077,0.406
12078,0.214
12079,0.454
12080,0.41
12081,0.518
12082,0.492
12083,0.768
12084,0.914
12085,0.2
12086,0.312
12087,0.88
12088,0.394
12089,0.66
12090,0.768
12091,0.816
12092,0.392
12093,0.386
12094,0.59
12095,0.364
12096,0.492
12097,0.806
12098,0.248
12099,0.404
12100,0.438
12101,0.214
12102,0.8
12103,0.262
12104,0.292
12105,0.768
12106,0.248
12107,0.818
12108,0.358
12109,0.474
12110,0.256
12111,0.954
12112,0.368
12113,0.622
12114,0.52
12115,0.394
12116,0.476
12117,0.386
12118,0.446
12119,0.278
12120,0.372
12121,0.676
12122,0.52
12123,0.758
12124,0.848
12125,0.602
12126,0.996
12127,0.602
12128,0.282
12129,0.538
12130,0.84
12131,0.258
12132,0.368
12133,0.3
12134,0.786
12135,0.306
12136,0.7
12137,0.354
12138,0.442
12139,0.78
12140,0.448
12141,0.484
12142,0.246
12143,0.308
12144,0.144
12145,0.452
12146,0.902
12147,0.738
12148,0.298
12149,0.916
12150,0.28
12151,0.488
12152,0.81
12153,0.194
12154,0.438
12155,0.33
12156,0.768
12157,0.686
12158,0.39
12159,0.32
12160,0.388
12161,0.476
12162,0.534
12163,0.504
12164,0.566
12165,0.188
12166,0.792
12167,0.424
12168,0.48
12169,0.686
12170,0.54
12171,0.474
12172,0.81
12173,0.906
12174,0.518
12175,0.238
12176,0.48
12177,0.732
12178,0.274
12179,0.252
12180,0.532
12181,0.628
12182,0.594
12183,0.464
12184,0.566
12185,0.36
12186,0.332
12187,0.524
12188,0.6
12189,0.532
12190,0.58
12191,0.404
12192,0.506
12193,0.218
12194,0.416
12195,0.32
12196,0.53
12197,0.28
12198,0.466
12199,0.474
12200,0.518
12201,0.81
12202,0.196
12203,0.396
12204,0.358
12205,0.768
12206,0.648
12207,0.362
12208,0.552
12209,0.536
12210,0.122
12211,0.224
12212,0.37
12213,0.81
12214,0.966
12215,0.914
12216,0.206
12217,0.486
12218,0.222
12219,0.39
12220,0.386
12221,0.496
12222,0.246
12223,0.582
12224,0.556
12225,0.364
12226,0.514
12227,0.54
12228,0.658
12229,0.486
12230,0.412
12231,0.726
12232,0.88
12233,0.516
12234,0.818
12235,0.368
12236,0.638
12237,0.892
12238,0.33
12239,0.646
12240,0.886
12241,0.438
12242,0.23
12243,0.216
12244,0.504
12245,0.896
12246,0.35
12247,0.208
12248,0.662
12249,0.556
12250,0.222
12251,0.296
12252,0.384
12253,0.47
12254,0.828
12255,0.294
12256,0.356
12257,0.426
12258,0.348
12259,0.35
12260,0.89
12261,0.336
12262,0.126
12263,0.802
12264,0.49
12265,0.792
12266,0.108
12267,0.308
12268,0.49
12269,0.268
12270,0.34
12271,0.828
12272,0.496
12273,0.362
12274,0.508
12275,0.382
12276,0.406
12277,0.404
12278,0.55
12279,0.224
12280,0.374
12281,0.31
12282,0.294
12283,0.416
12284,0.218
12285,0.388
12286,0.464
12287,0.27
12288,0.302
12289,0.342
12290,0.268
12291,0.344
12292,0.216
12293,0.268
12294,0.16
12295,0.382
12296,0.244
12297,0.456
12298,0.458
12299,0.892
12300,0.166
12301,0.304
12302,0.318
12303,0.444
12304,0.34
12305,0.466
12306,0.256
12307,0.242
12308,0.876
12309,0.312
12310,0.822
12311,0.188
12312,0.22
12313,0.14
12314,0.16
12315,0.45
12316,0.388
12317,0.174
12318,0.396
12319,0.144
12320,0.256
12321,0.262
12322,0.832
12323,0.378
12324,0.572
12325,0.372
12326,0.272
12327,0.286
12328,0.14
12329,0.266
12330,0.082
12331,0.38
12332,0.81
12333,0.244
12334,0.176
12335,0.204
12336,0.258
12337,0.322
12338,0.132
12339,0.538
12340,0.904
12341,0.372
12342,0.264
12343,0.138
12344,0.462
12345,0.254
12346,0.612
12347,0.424
12348,0.898
12349,0.116
12350,0.324
12351,0.144
12352,0.642
12353,0.9
12354,0.828
12355,0.244
12356,0.322
12357,0.394
12358,0.234
12359,0.472
12360,0.196
12361,0.414
12362,0.326
12363,0.146
12364,0.336
12365,0.144
12366,0.59
12367,0.388
12368,0.434
12369,0.292
12370,0.162
12371,0.246
12372,0.282
12373,0.5
12374,0.836
12375,0.164
12376,0.25
12377,0.318
12378,0.366
12379,0.19
12380,0.37
12381,0.324
12382,0.098
12383,0.238
12384,0.352
12385,0.27
12386,0.34
12387,0.328
12388,0.31
12389,0.172
12390,0.164
12391,0.55
12392,0.844
12393,0.25
12394,0.296
12395,0.11
12396,0.336
12397,0.212
12398,0.324
12399,0.444
12400,0.182
12401,0.384
12402,0.252
12403,0.394
12404,0.144
12405,0.35
12406,0.764
12407,0.434
12408,0.472
12409,0.304
12410,0.256
12411,0.28
12412,0.11
12413,0.508
12414,0.178
12415,0.51
12416,0.234
12417,0.138
12418,0.232
12419,0.3
12420,0.39
12421,0.348
