UniqueID,Probability1
11862,0.256
11863,0.39
11864,0.316
11865,0.52
11866,0.382
11867,0.296
11868,0.486
11869,0.38
11870,0.364
11871,0.532
11872,0.25
11873,0.298
11874,0.518
11875,0.634
11876,0.328
11877,0.45
11878,0.576
11879,0.222
11880,0.51
11881,0.376
11882,0.232
11883,0.162
11884,0.408
11885,0.554
11886,0.144
11887,0.284
11888,0.294
11889,0.202
11890,0.386
11891,0.846
11892,0.198
11893,0.556
11894,0.414
11895,0.232
11896,0.276
11897,0.262
11898,0.586
11899,0.284
11900,0.342
11901,0.388
11902,0.476
11903,0.132
11904,0.364
11905,0.25
11906,0.498
11907,0.414
11908,0.23
11909,0.26
11910,0.398
11911,0.22
11912,0.15
11913,0.52
11914,0.386
11915,0.284
11916,0.13
11917,0.43
11918,0.624
11919,0.412
11920,0.304
11921,0.144
11922,0.742
11923,0.804
11924,0.386
11925,0.906
11926,0.268
11927,0.594
11928,0.242
11929,0.372
11930,0.84
11931,0.372
11932,0.13
11933,0.458
11934,0.48
11935,0.266
11936,0.312
11937,0.524
11938,0.394
11939,0.288
11940,0.428
11941,0.49
11942,0.554
11943,0.354
11944,0.584
11945,0.896
11946,0.514
11947,0.87
11948,0.508
11949,0.552
11950,0.582
11951,0.442
11952,0.2
11953,0.812
11954,0.29
11955,0.724
11956,0.84
11957,0.464
11958,0.246
11959,0.802
11960,0.714
11961,0.676
11962,0.248
11963,0.258
11964,0.606
11965,0.442
11966,0.786
11967,0.502
11968,0.6
11969,0.436
11970,0.72
11971,0.574
11972,0.43
11973,0.894
11974,0.84
11975,0.862
11976,0.472
11977,0.688
11978,0.442
11979,0.83
11980,0.666
11981,0.564
11982,0.672
11983,0.826
11984,0.57
11985,0.84
11986,0.356
11987,0.522
11988,0.306
11989,0.828
11990,0.588
11991,0.54
11992,0.608
11993,0.862
11994,0.374
11995,0.414
11996,0.744
11997,0.48
11998,0.19
11999,0.352
12000,0.502
12001,0.618
12002,0.8
12003,0.89
12004,0.814
12005,0.534
12006,0.538
12007,0.576
12008,0.374
12009,0.412
12010,0.758
12011,0.826
12012,0.348
12013,0.358
12014,0.72
12015,0.618
12016,0.618
12017,0.83
12018,0.828
12019,0.538
12020,0.516
12021,0.542
12022,0.444
12023,0.538
12024,0.286
12025,0.898
12026,0.704
12027,0.686
12028,0.364
12029,0.408
12030,0.816
12031,0.84
12032,0.642
12033,0.522
12034,0.604
12035,0.226
12036,0.268
12037,0.346
12038,0.472
12039,0.608
12040,0.298
12041,0.49
12042,0.612
12043,0.212
12044,0.662
12045,0.442
12046,0.514
12047,0.104
12048,0.54
12049,0.526
12050,0.254
12051,0.424
