UniqueID,Probability1
11862,0.372
11863,0.368
11864,0.396
11865,0.534
11866,0.392
11867,0.306
11868,0.408
11869,0.388
11870,0.292
11871,0.91
11872,0.186
11873,0.286
11874,0.52
11875,0.928
11876,0.5
11877,0.464
11878,0.616
11879,0.288
11880,0.704
11881,0.342
11882,0.25
11883,0.438
11884,0.322
11885,0.018
11886,0.706
11887,0.42
11888,0.112
11889,0.164
11890,0.286
11891,0.802
11892,0.32
11893,0.452
11894,0.288
11895,0.24
11896,0.242
11897,0.258
11898,0.274
11899,0.21
11900,0.324
11901,0.362
11902,0.824
11903,0.254
11904,0.366
11905,0.27
11906,0.742
11907,0.028
11908,0.336
11909,0.376
11910,0.47
11911,0.172
11912,0.098
11913,0.99
11914,0.254
11915,0.346
11916,0.094
11917,0.332
11918,0.5
11919,0.272
11920,0.29
11921,0.212
11922,0.68
11923,0.764
11924,0.25
11925,0.87
11926,0.324
11927,0.518
11928,0.542
11929,0.36
11930,0.822
11931,0.678
11932,0.122
11933,0.364
11934,0.384
11935,0.242
11936,0.57
11937,0.9999
11938,0.272
11939,0.262
11940,0.344
11941,0.296
11942,0.58
11943,0
11944,0.672
11945,0.82
11946,0.522
11947,0.794
11948,0.306
11949,0.75
11950,0.684
11951,0.328
11952,0.192
11953,0.79
11954,0.38
11955,0.748
11956,0.822
11957,0.744
11958,0.146
11959,0.782
11960,0.61
11961,0.634
11962,0.3
11963,0.396
11964,0.53
11965,0.328
11966,0.83
11967,0.9999
11968,0.676
11969,0.368
11970,0.542
11971,0.432
11972,0.644
11973,0.83
11974,0.84
11975,0.822
11976,0.456
11977,0.606
11978,0.338
11979,0.676
11980,0.432
11981,0.632
11982,0.688
11983,0.806
11984,0.762
11985,0.822
11986,0.324
11987,0.712
11988,0.41
11989,0.838
11990,0.9999
11991,0.9999
11992,0.606
11993,0.654
11994,0.832
11995,0.334
11996,0.532
11997,0.344
11998,0.254
11999,0.936
12000,0.9999
12001,0.67
12002,0.9999
12003,0.858
12004,0.728
12005,0.77
12006,0.664
12007,0.548
12008,0.312
12009,0.656
12010,0.758
12011,0.848
12012,0.404
12013,0.28
12014,0.614
12015,0.67
12016,0.652
12017,0.676
12018,0.762
12019,0.558
12020,0.438
12021,0.9999
12022,0.68
12023,0.74
12024,0.288
12025,0.876
12026,0.724
12027,0.652
12028,0.262
12029,0.722
12030,0.76
12031,0.832
12032,0.616
12033,0.384
12034,0.586
12035,0.292
12036,0.278
12037,0.414
12038,0.368
12039,0.386
12040,0.164
12041,0.286
12042,0.646
12043,0.144
12044,0.616
12045,0.514
12046,0.274
12047,0.35
12048,0.428
12049,0.814
12050,0.304
12051,0.562
12052,0.16
12053,0.338
12054,0.272
12055,0.814
12056,0.764
12057,0.342
12058,0.346
12059,0.428
12060,0.454
12061,0.734
12062,0.822
12063,0.378
12064,0.606
12065,0.846
12066,0.382
12067,0.602
12068,0.528
12069,0.194
12070,0.13
12071,0.274
12072,0.82
12073,0.368
12074,0.382
12075,0.424
12076,0.812
12077,0.29
12078,0.246
12079,0.614
12080,0.382
12081,0.71
12082,0.534
12083,0.79
12084,0.878
12085,0.176
12086,0.274
12087,0.814
12088,0.382
12089,0.596
12090,0.812
12091,0.806
12092,0.334
12093,0.29
12094,0.568
12095,0.45
12096,0.372
12097,0.828
12098,0.166
