UniqueID,Probability1
11862,0.248
11863,0.25
11864,0.304
11865,0.496
11866,0.412
11867,0.182
11868,0.42
11869,0.288
11870,0.238
11871,0.508
11872,0.224
11873,0.346
11874,0.284
11875,0.586
11876,0.222
11877,0.424
11878,0.526
11879,0.192
11880,0.532
11881,0.394
11882,0.22
11883,0.14
11884,0.258
11885,0.558
11886,0.128
11887,0.294
11888,0.282
11889,0.182
11890,0.284
11891,0.86
11892,0.376
11893,0.506
11894,0.348
11895,0.216
11896,0.342
11897,0.244
11898,0.612
11899,0.274
11900,0.34
11901,0.39
11902,0.518
11903,0.122
11904,0.208
11905,0.214
11906,0.548
11907,0.378
11908,0.144
11909,0.222
11910,0.312
11911,0.216
11912,0.134
11913,0.576
11914,0.358
11915,0.306
11916,0.108
11917,0.4
11918,0.56
11919,0.364
11920,0.302
11921,0.114
11922,0.704
11923,0.812
11924,0.358
11925,0.914
11926,0.226
11927,0.55
11928,0.2
11929,0.366
11930,0.844
11931,0.372
11932,0.096
11933,0.454
11934,0.426
11935,0.33
11936,0.284
11937,0.588
11938,0.404
11939,0.276
11940,0.4
11941,0.45
11942,0.6
11943,0.326
11944,0.62
11945,0.84
11946,0.486
11947,0.878
11948,0.378
11949,0.54
11950,0.604
11951,0.42
11952,0.166
11953,0.82
11954,0.268
11955,0.696
11956,0.844
11957,0.44
11958,0.26
11959,0.792
11960,0.726
11961,0.598
11962,0.2
11963,0.212
11964,0.654
11965,0.42
11966,0.768
11967,0.506
11968,0.568
11969,0.442
11970,0.72
11971,0.526
11972,0.432
11973,0.89
11974,0.856
11975,0.82
11976,0.488
11977,0.68
11978,0.418
11979,0.83
11980,0.652
11981,0.55
11982,0.674
11983,0.84
11984,0.62
11985,0.844
11986,0.282
11987,0.526
11988,0.318
11989,0.844
11990,0.53
11991,0.594
11992,0.564
11993,0.846
11994,0.29
11995,0.386
11996,0.726
11997,0.44
11998,0.162
11999,0.292
12000,0.506
12001,0.628
12002,0.812
12003,0.906
12004,0.828
12005,0.586
12006,0.59
12007,0.562
12008,0.352
12009,0.39
12010,0.812
12011,0.842
12012,0.412
12013,0.348
12014,0.582
12015,0.628
12016,0.646
12017,0.83
12018,0.828
12019,0.582
12020,0.502
12021,0.52
12022,0.484
12023,0.594
12024,0.142
12025,0.908
12026,0.748
12027,0.686
12028,0.384
12029,0.42
12030,0.836
12031,0.862
12032,0.638
12033,0.482
12034,0.562
12035,0.148
12036,0.192
12037,0.32
12038,0.398
12039,0.54
12040,0.276
12041,0.46
12042,0.624
12043,0.19
12044,0.69
12045,0.442
12046,0.494
12047,0.082
12048,0.532
12049,0.574
12050,0.216
12051,0.436
12052,0.174
12053,0.398
12054,0.364
12055,0.558
12056,0.692
12057,0.284
12058,0.46
12059,0.49
12060,0.276
12061,0.786
12062,0.864
12063,0.408
12064,0.656
12065,0.582
12066,0.454
12067,0.594
12068,0.728
12069,0.17
12070,0.12
12071,0.222
12072,0.506
12073,0.232
12074,0.47
12075,0.478
12076,0.764
12077,0.282
12078,0.17
12079,0.444
12080,0.428
12081,0.514
12082,0.514
12083,0.772
12084,0.918
12085,0.202
12086,0.222
12087,0.89
12088,0.358
12089,0.62
12090,0.776
12091,0.85
12092,0.372
12093,0.412
12094,0.626
12095,0.272
12096,0.428
12097,0.808
12098,0.21
12099,0.378
12100,0.41
12101,0.17
12102,0.8
12103,0.252
12104,0.3
12105,0.788
12106,0.178
12107,0.85
12108,0.358
12109,0.394
12110,0.188
12111,0.442
12112,0.416
12113,0.62
12114,0.528
12115,0.358
12116,0.498
12117,0.386
12118,0.472
12119,0.214
12120,0.296
