UniqueID,Probability1
11862,0.29
11863,0.138
11864,0.21
11865,0.77
11866,0.144
11867,0.152
11868,0.402
11869,0.164
11870,0.076
11871,0.99
11872,0.16
11873,0.29
11874,0.374
11875,0.868
11876,0.222
11877,0.608
11878,0.39
11879,0.114
11880,0.274
11881,0.686
11882,0.024
11883,0.02
11884,0.29
11885,0.126
11886,0.504
11887,0.134
11888,0.224
11889,0.468
11890,0.048
11891,0.988
11892,0.298
11893,0.458
11894,0.348
11895,0.316
11896,0.4
11897,0.088
11898,0.228
11899,0.186
11900,0.122
11901,0.632
11902,0.574
11903,0.348
11904,0.296
11905,0.046
11906,0.99
11907,0.124
11908,0.078
11909,0.222
11910,0.092
11911,0.288
11912,0.092
11913,1
11914,0.09
11915,0.164
11916,0.422
11917,0.164
11918,0.688
11919,0.062
11920,0.412
11921,0.062
11922,0.854
11923,0.998
11924,0.38
11925,0.984
11926,0.172
11927,0.928
11928,0.21
11929,0.138
11930,1
11931,0.836
11932,0.064
11933,0.456
11934,0.368
11935,0.152
11936,0.622
11937,1
11938,0.55
11939,0.096
11940,0.682
11941,0.494
11942,0.682
11943,0.01
11944,0.856
11945,0.998
11946,0.948
11947,0.974
11948,0.206
11949,1
11950,0.742
11951,0.118
11952,0.564
11953,0.986
11954,0.086
11955,0.986
11956,1
11957,0.394
11958,0.064
11959,0.944
11960,0.95
11961,0.828
11962,0.074
11963,0.104
11964,0.462
11965,0.118
11966,0.918
11967,0.974
11968,0.934
11969,0.288
11970,0.926
11971,0.25
11972,0.908
11973,0.994
11974,0.998
11975,0.874
11976,0.518
11977,0.852
11978,0.062
11979,0.998
11980,0.974
11981,0.546
11982,0.902
11983,1
11984,0.918
11985,1
11986,0.146
11987,0.746
11988,0.082
11989,0.996
11990,0.948
11991,0.998
11992,0.876
11993,0.89
11994,0.79
11995,0.104
11996,0.86
11997,0.614
11998,0.086
11999,0.606
12000,0.974
12001,0.88
12002,1
12003,0.948
12004,0.974
12005,1
12006,0.63
12007,1
12008,0.422
12009,0.41
12010,0.982
12011,1
12012,0.36
12013,0.194
12014,0.8
12015,0.88
12016,0.568
12017,0.998
12018,1
12019,0.976
12020,0.97
12021,0.986
12022,0.976
12023,0.994
12024,0.108
12025,0.924
12026,0.996
12027,0.956
12028,0.276
12029,0.528
12030,1
12031,0.91
12032,0.542
12033,0.186
12034,0.972
12035,0.006
12036,0.086
12037,0.568
12038,0.364
12039,0.464
12040,0.04
12041,0.474
12042,0.698
12043,0.138
12044,0.756
12045,0.532
12046,0.628
12047,0.148
12048,0.998
12049,0.962
12050,0.092
12051,0.9
12052,0.148
12053,0.642
12054,0.062
12055,0.994
12056,0.332
12057,0.124
12058,0.642
12059,0.588
12060,0.442
12061,1
12062,0.998
12063,0.668
12064,0.952
12065,0.996
12066,0.512
12067,0.87
12068,0.984
12069,0.094
12070,0.104
12071,0.094
12072,0.994
12073,0.44
12074,0.616
12075,0.448
12076,1
12077,0.144
12078,0.114
12079,0.828
12080,0.49
12081,0.864
12082,1
12083,0.932
12084,0.994
12085,0.13
12086,0.094
12087,0.95
12088,0.04
12089,0.7
12090,0.866
12091,0.876
12092,0.112
12093,0.542
12094,0.9
12095,0.348
12096,0.316
12097,0.904
12098,0.216
12099,0.264
12100,0.084
12101,0.114
12102,0.936
12103,0.06
12104,0.018
12105,0.98
12106,0.148
12107,1
12108,0.416
12109,0.61
12110,0.07
12111,0.9
12112,0.632
12113,0.914
12114,1
12115,0.022
12116,1
12117,0.144
12118,0.99
12119,0.166
12120,0.154
12121,0.878
12122,0.69
12123,0.948
12124,0.92
12125,0.948
12126,0.988
12127,0.828
12128,0.264
12129,0.842
12130,0.952
12131,0.208
12132,0.558
12133,0.168
12134,0.984
12135,0.198
12136,0.914
12137,0.254
12138,0.598
12139,0.986
12140,0.768
12141,0.378
12142,0.02
12143,0.402
12144,0.144
12145,0.826
12146,0.728
12147,0.886
12148,0.234
12149,0.986
12150,0.25
12151,0.836
12152,1
12153,0.06
12154,0.254
12155,0.332
12156,0.936
12157,0.882
12158,0.356
12159,0.174
12160,0.868
12161,1
12162,0.86
12163,0.324
12164,0.356
12165,0.094
12166,0.998
12167,0.52
12168,0.99
12169,0.9
12170,0.236
12171,0.058
12172,1
12173,0.916
12174,0.804
12175,0.462
12176,0.554
12177,0.976
12178,0.09
12179,0.24
12180,0.47
12181,0.932
12182,0.836
12183,0.808
12184,0.356
12185,0.612
12186,0.456
12187,0.84
12188,0.432
12189,0.316
12190,0.98
12191,0.764
12192,0.334
12193,0.378
12194,0.834
12195,0.046
12196,0.984
12197,0.318
12198,0.382
12199,0.516
12200,0.826
12201,1
12202,0.09
12203,0.694
12204,0.514
12205,0.978
12206,0.88
12207,0.318
12208,0.79
12209,0.606
12210,0.106
12211,0.148
12212,0.2
12213,1
12214,0.93
12215,0.992
12216,0.002
12217,0.274
12218,0.132
12219,0.246
12220,0.212
12221,0.814
12222,0.446
12223,0.456
12224,0.704
12225,0.126
12226,0.138
12227,0.994
12228,0.926
12229,0.996
12230,0.48
12231,0.776
12232,0.98
12233,0.744
12234,0.998
12235,0.256
12236,0.722
12237,0.982
12238,0.044
12239,0.456
12240,0.998
12241,0.294
12242,0.052
12243,0.048
12244,0.932
12245,1
12246,0.21
12247,0.012
12248,0.74
12249,0.408
12250,0.056
12251,0.166
12252,0.214
12253,0.06
12254,0.952
12255,0.214
12256,0.098
12257,0.534
12258,0.116
12259,0.282
12260,0.992
12261,0.35
12262,0.026
12263,0.99
12264,0.986
12265,0.998
12266,0.012
12267,0.138
12268,0.322
12269,0.034
12270,0.478
12271,0.996
12272,0.714
12273,0.286
12274,0.164
12275,0.582
12276,0.104
12277,0.382
12278,0.784
12279,0.164
12280,0.482
12281,0.09
12282,0.214
12283,0.204
12284,0.17
12285,0.13
12286,0.362
12287,0.156
12288,0.33
12289,0.474
12290,0.35
12291,0.398
12292,0.066
12293,0.228
12294,0.188
12295,0.176
12296,0.19
12297,0.878
12298,0.152
12299,0.836
12300,0.01
12301,0.074
12302,0.396
12303,0.4
12304,0.302
12305,0.378
12306,0.032
12307,0.094
12308,0.912
12309,0.176
12310,1
12311,0.144
