UniqueID,Probability1
11862,0.408
11863,0.376
11864,0.374
11865,0.544
11866,0.422
11867,0.296
11868,0.368
11869,0.372
11870,0.35
11871,0.904
11872,0.2
11873,0.3
11874,0.53
11875,0.96
11876,0.556
11877,0.452
11878,0.594
11879,0.302
11880,0.718
11881,0.28
11882,0.232
11883,0.53
11884,0.342
11885,0
11886,0.706
11887,0.426
11888,0.13
11889,0.21
11890,0.316
11891,0.786
11892,0.306
11893,0.404
11894,0.318
11895,0.28
11896,0.26
11897,0.266
11898,0.274
11899,0.236
11900,0.414
11901,0.28
11902,0.82
11903,0.274
11904,0.386
11905,0.276
11906,0.7
11907,0.018
11908,0.382
11909,0.394
11910,0.452
11911,0.188
11912,0.116
11913,0.988
11914,0.188
11915,0.438
11916,0.104
11917,0.398
11918,0.456
11919,0.3
11920,0.308
11921,0.188
11922,0.698
11923,0.738
11924,0.2
11925,0.848
11926,0.338
11927,0.52
11928,0.518
11929,0.292
11930,0.78
11931,0.654
11932,0.158
11933,0.388
11934,0.388
11935,0.258
11936,0.522
11937,0.9999
11938,0.222
11939,0.24
11940,0.334
11941,0.254
11942,0.608
11943,0
11944,0.67
11945,0.8
11946,0.538
11947,0.806
11948,0.372
11949,0.698
11950,0.65
11951,0.362
11952,0.248
11953,0.76
11954,0.372
11955,0.764
11956,0.78
11957,0.696
11958,0.158
11959,0.774
11960,0.498
11961,0.576
11962,0.286
11963,0.406
11964,0.526
11965,0.36
11966,0.816
11967,0.9999
11968,0.646
11969,0.34
11970,0.476
11971,0.422
11972,0.588
11973,0.786
11974,0.808
11975,0.76
11976,0.45
11977,0.574
11978,0.3
11979,0.63
11980,0.434
11981,0.656
11982,0.628
11983,0.792
11984,0.712
11985,0.78
11986,0.382
11987,0.642
11988,0.42
11989,0.804
11990,0.9999
11991,0.9999
11992,0.61
11993,0.624
11994,0.834
11995,0.294
11996,0.522
11997,0.286
11998,0.216
11999,0.952
12000,0.9999
12001,0.61
12002,0.9999
12003,0.842
12004,0.76
12005,0.746
12006,0.672
12007,0.556
12008,0.27
12009,0.678
12010,0.742
12011,0.83
12012,0.392
12013,0.284
12014,0.636
12015,0.604
12016,0.654
12017,0.626
12018,0.738
12019,0.518
12020,0.406
12021,0.9999
12022,0.632
12023,0.702
12024,0.302
12025,0.864
12026,0.668
12027,0.616
12028,0.224
12029,0.75
12030,0.73
12031,0.832
12032,0.624
12033,0.356
12034,0.606
12035,0.29
12036,0.33
12037,0.47
12038,0.344
12039,0.38
12040,0.172
12041,0.262
12042,0.674
12043,0.15
12044,0.562
12045,0.498
12046,0.242
12047,0.326
12048,0.382
12049,0.79
12050,0.298
12051,0.506
12052,0.164
12053,0.308
12054,0.3
12055,0.752
12056,0.76
12057,0.296
12058,0.314
12059,0.374
12060,0.452
12061,0.69
12062,0.804
12063,0.282
12064,0.62
12065,0.81
12066,0.348
12067,0.558
12068,0.53
12069,0.194
12070,0.144
12071,0.294
12072,0.79
12073,0.378
12074,0.368
12075,0.388
12076,0.788
12077,0.334
12078,0.26
12079,0.636
12080,0.374
12081,0.644
12082,0.528
12083,0.764
12084,0.864
12085,0.156
12086,0.296
12087,0.82
12088,0.416
12089,0.5
12090,0.782
12091,0.78
12092,0.304
12093,0.25
12094,0.516
12095,0.532
12096,0.356
12097,0.82
12098,0.178
12099,0.32
12100,0.354
12101,0.26
12102,0.746
12103,0.266
12104,0.278
12105,0.714
12106,0.334
12107,0.796
12108,0.248
12109,0.414
12110,0.25
12111,0.9999
12112,0.48
12113,0.582
12114,0.9999
12115,0
12116,0.53
12117,0.186
12118,0.67
12119,0.208
12120,0.31
