"UniqueID","startprice","startprice.predict."
10001,159.99,200.288786712688
10002,0.99,41.4155921450146
10003,199.99,231.228368770456
10004,235,338.508781865723
10005,199.99,129.585918140113
10006,175,180.031923375517
10007,100,148.743801032478
10008,329.99,340.334376730765
10009,0.99,70.3533532884059
10010,150,119.557512725842
10011,199.99,196.450296814985
10012,99.99,114.312405537051
10013,20,25.6445666580682
10014,75,120.67344517449
10015,199.99,227.449202234057
10016,344.95,418.542539324302
10017,184.5,192.97407224786
10018,209.98,273.251187226309
10019,375,365.66874802397
10020,95,132.638141106255
10021,125,129.302708218397
10022,187.5,187.618069683121
10023,129.99,178.032867825282
10024,329.99,277.419953763217
10025,149,474.844415666828
10026,238.8,263.949337970849
10027,84.99,102.786458898736
10028,249.99,197.414412250063
10029,309.99,322.394035566305
10030,319.95,329.863072571398
10031,185,229.698562913513
10032,90,100.098064362301
10033,299.98,190.218182053363
10034,49,225.710200042237
10035,444.99,349.668592644804
10036,480,399.197845068548
10037,225,245.237893716202
10038,79,132.44489836567
10039,189.85,205.660570766255
10040,159.99,200.435201822981
10041,199.99,210.765900471249
10042,115,110.661924021575
10043,289.95,226.841090227329
10044,499.95,463.503368775752
10045,199.99,228.91382160994
10046,550,493.581203453136
10047,209.99,234.541073488125
10048,185,229.533875896341
10049,100,84.1074827086345
10050,279.99,187.823559807433
10051,614.99,505.459691757177
10052,259,247.931279270456
10053,240,216.130156108748
10054,69.99,120.24401686208
10055,398.99,402.604214203388
10056,175,92.4051670180304
10057,84.99,202.725341147974
10058,269.99,189.379779921664
10059,295,204.501772849987
10060,210,174.060225483233
10061,160,183.873824817823
10062,0.99,56.5471922025544
10063,304.89,154.927136598743
10064,0.99,40.8149689059185
10065,195,192.323232366965
10066,319,265.713905172914
10067,389.99,435.482254139554
10068,79.99,102.312081511132
10069,254.99,220.313422453347
10070,115,85.3858419463773
10071,159.95,213.143252493548
10072,279.99,69.6733733604369
10073,99.99,66.0302709805542
10074,75,42.6341611166198
10075,135,68.5817380647434
10076,130,168.458810630842
10077,119.95,196.884348912564
10078,50,30.5621081067528
10079,269.94,228.095346851716
10080,380,416.254815361515
10081,0.99,73.5410163287876
10082,169.95,189.122122934218
10083,319.85,229.085794337494
10084,329.99,362.958439587395
10085,249.95,217.814953202186
10086,130,168.361935914859
10087,550,493.079515238367
10088,169.98,208.640995752108
10089,149.99,172.970228041821
10090,305,183.464533305006
10091,0.01,37.5471922153292
10092,450,297.574122155788
10093,194.29,207.388445109623
10094,193.15,196.186984773983
10095,62,51.4790970110948
10096,489.99,457.937649173282
10097,99,106.673126853976
10098,45,53.3244843221756
10099,134.95,157.552149923379
10100,199.99,210.194339646948
10101,264.99,316.840531715477
10102,349,240.193777915622
10103,160,70.3927492800958
10104,295,281.847231762346
10105,199,208.490872037011
10106,279.95,200.893576125398
10107,149.95,156.190663779427
10108,290,191.156846641525
10109,339.99,417.229983783197
10110,99,119.458342039875
10111,320,280.944295501945
10112,255,127.045588240993
10113,114.99,65.1430838238903
10114,250,145.190423156957
10115,250,201.038395771242
10116,549.99,446.413162130264
10117,215,209.9005702355
10118,325,253.56030942943
10119,199.99,160.320272150887
10120,250,210.498712902158
10121,249.99,189.012287509293
10122,299.99,237.083418813407
10123,159.99,157.361441233815
10124,9.99,106.411565120821
10125,125,98.3491091135631
10126,344,214.555830300216
10127,100,30.0360584240503
10128,250,200.912458640464
10129,175,159.245049708675
10130,100,117.520265117758
10131,150,168.937030644929
10132,119.99,171.360765490627
10133,225,221.49712259657
10134,49.49,41.9900186480045
10135,225,70.4963360441261
10136,389.99,554.902820234383
10137,255,120.558447014067
10138,25,47.9979561379868
10139,274.99,194.050164305657
10140,0.99,67.9520524108523
10141,185,105.539380028986
10142,250,98.1844220963916
10143,99,136.223791935665
10144,215,250.219369627861
10145,58,72.0483041362302
10146,187.5,191.724388411676
10147,189.99,201.371036349991
10148,229,259.135975118152
10149,159.93,183.878438865435
10150,89.95,79.4111114336297
10151,60,60.3255274745338
10152,0.99,77.8932165409999
10153,639.99,335.139536748346
10154,40,61.3440529421829
10155,284.99,189.223683689047
10156,29.99,56.8592709544431
10157,49.99,35.7490393095165
10158,139.98,179.454997785278
