UniqueID,Probability1
11862,0.31
11863,0.396
11864,0.516
11865,0.532
11866,0.522
11867,0.298
11868,0.52
11869,0.486
11870,0.346
11871,0.92
11872,0.264
11873,0.314
11874,0.524
11875,0.9999
11876,0.476
11877,0.368
11878,0.684
11879,0.3
11880,0.736
11881,0.218
11882,0.326
11883,0.448
11884,0.412
11885,0.08
11886,0.634
11887,0.522
11888,0.19
11889,0.126
11890,0.232
11891,0.704
11892,0.358
11893,0.466
11894,0.344
11895,0.362
11896,0.24
11897,0.212
11898,0.45
11899,0.194
11900,0.308
11901,0.236
11902,0.714
11903,0.186
11904,0.414
11905,0.254
11906,0.686
11907,0.03
11908,0.324
11909,0.386
11910,0.434
11911,0.17
11912,0.098
11913,0.9999
11914,0.268
11915,0.426
11916,0.144
11917,0.382
11918,0.404
11919,0.296
11920,0.456
11921,0.318
11922,0.704
11923,0.61
11924,0.2
11925,0.746
11926,0.36
11927,0.52
11928,0.608
11929,0.366
11930,0.588
11931,0.674
11932,0.084
11933,0.292
11934,0.518
11935,0.232
11936,0.622
11937,0.9999
11938,0.174
11939,0.468
11940,0.394
11941,0.194
11942,0.522
11943,0
11944,0.598
11945,0.626
11946,0.528
11947,0.7
11948,0.268
11949,0.684
11950,0.552
11951,0.486
11952,0.218
11953,0.648
11954,0.406
11955,0.774
11956,0.588
11957,0.696
11958,0.37
11959,0.79
11960,0.552
11961,0.576
11962,0.426
11963,0.348
11964,0.642
11965,0.486
11966,0.802
11967,0.9999
11968,0.592
11969,0.348
11970,0.572
11971,0.472
11972,0.638
11973,0.714
11974,0.648
11975,0.77
11976,0.378
11977,0.65
11978,0.452
11979,0.486
11980,0.442
11981,0.724
11982,0.578
11983,0.602
11984,0.614
11985,0.586
11986,0.342
11987,0.716
11988,0.424
11989,0.792
11990,0.9999
11991,0.9999
11992,0.646
11993,0.58
11994,0.95
11995,0.204
11996,0.602
11997,0.3
11998,0.168
11999,0.758
12000,0.9999
12001,0.586
12002,0.9999
12003,0.752
12004,0.696
12005,0.582
12006,0.59
12007,0.632
12008,0.218
12009,0.582
12010,0.668
12011,0.802
12012,0.404
12013,0.472
12014,0.636
12015,0.584
12016,0.544
12017,0.484
12018,0.586
12019,0.578
12020,0.412
12021,0.9999
12022,0.654
12023,0.68
12024,0.27
12025,0.824
12026,0.644
12027,0.592
12028,0.196
12029,0.74
12030,0.584
12031,0.73
12032,0.764
12033,0.464
12034,0.654
12035,0.344
12036,0.316
12037,0.42
12038,0.524
12039,0.326
12040,0.382
12041,0.268
12042,0.652
12043,0.22
12044,0.584
12045,0.526
12046,0.34
12047,0.39
12048,0.482
12049,0.596
12050,0
12051,0.442
12052,0.144
12053,0.386
12054,0.296
12055,0.642
12056,0.652
12057,0.334
12058,0.326
12059,0.382
12060,0.3
12061,0.624
12062,0.794
12063,0.278
12064,0.752
12065,0.802
12066,0.356
12067,0.626
12068,0.588
12069,0.356
12070,0.326
12071,0.346
12072,0.848
12073,0.502
12074,0.38
12075,0.338
12076,0.596
12077,0.242
12078,0.232
12079,0.604
12080,0.348
12081,0.724
12082,0.556
12083,0.798
12084,0.718
12085,0.124
12086,0.334
12087,0.766
12088,0.408
12089,0.55
12090,0.616
12091,0.718
12092,0.364
12093,0.224
12094,0.566
12095,0.458
12096,0.468
12097,0.722
12098,0.144
12099,0.434
12100,0.332
12101,0.232
12102,0.652
12103,0.398
12104,0.34
12105,0.542
12106,0.37
12107,0.664
12108,0.23
12109,0.66
12110,0.258
12111,0.9999
12112,0.506
12113,0.452
12114,0.9999
12115,0
12116,0.622
12117,0.272
12118,0.522
12119,0.158
12120,0.468
12121,0.776
12122,0.196
12123,0.794
12124,0.714
12125,0.564
12126,0.9999
12127,0.628
12128,0.162
12129,0.758
12130,0.878
12131,0.558
12132,0.216
12133,0.31
12134,0.766
12135,0.24
12136,0.542
12137,0.186
12138,0.352
12139,0.632
12140,0.26
12141,0.14
12142,0.174
12143,0.25
12144,0.334
12145,0.642
12146,0.728
12147,0.736
12148,0.414
12149,0.714
12150,0.22
12151,0.6
12152,0.9999
12153,0.224
12154,0.742
12155,0.3
12156,0.78
12157,0.816
12158,0.272
12159,0.278
12160,0.588
12161,0.622
12162,0.66
12163,0.528
12164,0.328
12165,0.34
12166,0.64
12167,0.332
12168,0.5
12169,0.434
12170,0.482
12171,0.274
12172,0.9999
12173,0.748
12174,0.472
12175,0.438
12176,0.542
12177,0.668
12178,0.378
12179,0.136
12180,0.394
12181,0.618
12182,0.688
12183,0.21
12184,0.328
12185,0.186
12186,0.166
12187,0.468
12188,0.41
12189,0.462
12190,0.826
12191,0.164
12192,0.44
12193,0.224
12194,0.206
12195,0.268
12196,0.646
12197,0.486
12198,0.354
12199,0.364
12200,0.65
12201,0.662
12202,0.336
12203,0.134
12204,0.14
12205,0.554
12206,0.442
12207,0.274
12208,0.71
12209,0.366
12210,0.182
12211,0.256
12212,0.082
12213,0.9999
12214,0.6
12215,0.796
12216,0.29
12217,0.396
12218,0.142
12219,0.28
12220,0.348
12221,0.454
12222,0.294
12223,0.386
12224,0.48
12225,0.318
12226,0.464
12227,0.624
12228,0.534
12229,0.442
12230,0.328
12231,0.808
12232,0.718
12233,0.832
12234,0.53
12235,0.402
12236,0.288
12237,0.72
12238,0.534
12239,0.584
12240,0.648
12241,0.162
12242,0.372
12243,0.26
12244,0.386
12245,0.704
12246,0.458
12247,0.434
12248,0.608
12249,0.234
12250,0.408
12251,0.312
12252,0.248
12253,0
12254,0.73
12255,0.344
12256,0.28
12257,0.164
12258,0.482
12259,0.17
12260,0.718
12261,0.19
12262,0.23
12263,0.654
12264,0.638
12265,0.596
12266,0.2
12267,0.29
12268,0.162
12269,0.398
12270,0.238
12271,0.798
12272,0.71
12273,0.254
12274,0.238
12275,0.154
12276,0.332
12277,0.202
12278,0.9999
12279,0.152
12280,0.174
12281,0.306
12282,0.344
12283,0.232
12284,0.176
12285,0
12286,0.308
12287,0.49
12288,0.352
12289,0.242
12290,0.296
12291,0.146
12292,0.226
12293,0.132
12294,0.378
12295,0.268
12296,0.398
12297,0.198
12298,0.482
12299,0.704
12300,0.168
12301,0.234
12302,0.156
12303,0.364
12304,0.32
12305,0.816
12306,0.326
12307,0.266
12308,0.722
12309,0.302
12310,0.8
12311,0.25
12312,0.32
12313,0.152
12314,0.184
12315,0.396
12316,0.228
12317,0.174
12318,0.304
12319,0.322
12320,0.16
12321,0.314
12322,0.704
12323,0.384
12324,0.624
12325,0.262
12326,0.49
12327,0.302
12328,0.178
12329,0.218
12330,0.208
12331,0.266
12332,0.79
12333,0.36
12334,0.23
12335,0.124
12336,0.162
12337,0.236
12338,0.192
12339,0.406
12340,0.756
12341,0.224
12342,0.136
12343,0.264
12344,0.178
12345,0.354
12346,0.744
12347,0.372
12348,0.736
12349,0.274
12350,0.262
12351,0.17
12352,0.48
12353,0.256
12354,0.656
12355,0.356
12356,0.37
12357,0.196
12358,0.174
12359,0.516
12360,0.176
12361,0.1
12362,0.352
12363,0.198
12364,0.088
12365,0.322
12366,0.51
12367,0
12368,0.228
12369,0.27
12370,0.228
12371,0.256
12372,0.222
12373,0.55
12374,0.814
12375,0.228
12376,0.402
12377,0.236
12378,0.32
12379,0.268
12380,0.17
12381,0.358
12382,0.176
12383,0.366
12384,0.308
12385,0.336
12386,0.392
12387,0.412
12388,0
12389,0.116
12390,0.174
12391,0.392
12392,0.788
12393,0.346
12394,0.338
12395,0.204
12396,0.332
12397,0.356
12398,0.336
12399,0.37
12400,0.316
12401,0.458
12402,0.174
12403,0.434
12404,0.17
12405,0.29
12406,0.652
12407,0.382
12408,0.522
12409,0.126
12410,0.192
12411,0.242
12412,0.178
12413,0.646
12414,0.184
12415,0.522
12416,0.312
12417,0.124
12418,0.27
12419,0.464
12420,0.376
12421,0.366
12422,0.088
12423,0.22
12424,0.148
12425,0.242
12426,0.438
12427,0.15
12428,0.382
12429,0.238
12430,0.256
12431,0.312
12432,0.66
12433,0.172
12434,0.416
12435,0.4
12436,0.348
12437,0.396
12438,0.156
12439,0.268
12440,0.474
12441,0.256
12442,0.244
12443,0.488
12444,0.216
12445,0.376
12446,0.678
12447,0.478
12448,0.438
12449,0.224
12450,0.23
12451,0.184
12452,0.26
12453,0.188
12454,0.3
12455,0.462
12456,0.598
12457,0.084
12458,0.276
12459,0.456
12460,0.122
12461,0.66
12462,0.46
12463,0.092
12464,0.138
12465,0.166
12466,0.514
12467,0.71
12468,0.298
12469,0.148
12470,0.098
12471,0.606
12472,0.43
12473,0.37
12474,0.204
12475,0.382
12476,0.202
12477,0.354
12478,0.372
12479,0.448
12480,0.388
12481,0.39
12482,0.356
12483,0.372
12484,0.11
12485,0.356
12486,0.618
12487,0.482
12488,0.162
12489,0.178
12490,0.612
12491,0.876
12492,0.174
12493,0.366
12494,0.322
12495,0.162
12496,0.118
12497,0.508
12498,0.8
12499,0.176
12500,0.098
12501,0.184
12502,0.394
12503,0.212
12504,0.632
12505,0.66
12506,0.082
12507,0.594
12508,0.072
12509,0.07
12510,0.166
12511,0.294
12512,0.356
12513,0.242
12514,0.234
12515,0.372
12516,0.164
12517,0.358
12518,0.258
12519,0.564
12520,0.21
12521,0.2
12522,0.418
12523,0.254
12524,0.174
12525,0.296
12526,0.296
12527,0.192
12528,0.356
12529,0.382
12530,0.276
12531,0.148
12532,0.164
12533,0.282
12534,0.304
12535,0.324
12536,0.202
12537,0.348
12538,0.19
12539,0.394
12540,0.316
12541,0.212
12542,0.15
12543,0.304
12544,0.186
12545,0.302
12546,0.248
12547,0.284
12548,0.284
12549,0.592
12550,0.45
12551,0.312
12552,0.43
12553,0.262
12554,0.244
12555,0.574
12556,0.59
12557,0.418
12558,0.612
12559,0.67
12560,0.302
12561,0.324
12562,0.28
12563,0.4
12564,0.452
12565,0.422
12566,0.858
12567,0.778
12568,0.538
12569,0.564
12570,0.776
12571,0.726
12572,0.704
12573,0.64
12574,0.32
12575,0.682
12576,0.872
12577,0.61
12578,0.554
12579,0.658
12580,0.45
12581,0.672
12582,0.468
12583,0.398
12584,0.622
12585,0
12586,0.52
12587,0.656
12588,0.764
12589,0.276
12590,0.478
12591,0.406
12592,0.226
12593,0.412
12594,0.368
12595,0.684
12596,0.43
12597,0.726
12598,0.394
12599,0.708
12600,0.388
12601,0.39
12602,0.462
12603,0.308
12604,0.258
12605,0.52
12606,0.686
12607,0.324
12608,0.9999
12609,0.494
12610,0.444
12611,0.636
12612,0.676
12613,0.318
12614,0.226
12615,0.246
12616,0.366
12617,0.306
12618,0.116
12619,0.66
12620,0.334
12621,0.812
12622,0.218
12623,0.736
12624,0.502
12625,0.562
12626,0.122
12627,0.314
12628,0.366
12629,0.332
12630,0.772
12631,0.506
12632,0.266
12633,0.178
12634,0.32
12635,0.65
12636,0.474
12637,0.324
12638,0.484
12639,0.806
12640,0.39
12641,0.472
12642,0.42
12643,0.462
12644,0.496
12645,0.618
12646,0.32
12647,0.618
12648,0.654
12649,0.72
12650,0.27
12651,0.274
12652,0.162
12653,0.56
12654,0.446
12655,0.42
12656,0.42
12657,0.196
12658,0.408
12659,0.176
