"UniqueID","sold.fctr","sold.fctr.predict.All.X.no.rnorm.rf.prob","sold.fctr.predict.All.X.no.rnorm.rf","sold.fctr.predict.All.X.no.rnorm.rf.accurate"
10020,"N",0.122,"N",TRUE
10038,"N",0.224,"N",TRUE
10042,"N",0.268,"N",TRUE
10043,"N",0.156,"N",TRUE
10082,"N",0.368,"N",TRUE
10106,"N",0.086,"N",TRUE
10107,"N",0.568,"Y",FALSE
10110,"N",0.314,"N",TRUE
10182,"N",0.47,"N",TRUE
10217,"N",0.788,"Y",FALSE
10382,"N",0.034,"N",TRUE
10466,"N",0.214,"N",TRUE
10471,"N",0.188,"N",TRUE
10512,"N",0.536,"Y",FALSE
10526,"N",0.738,"Y",FALSE
10568,"N",0.138,"N",TRUE
10586,"N",0.28,"N",TRUE
10645,"N",0.146,"N",TRUE
10772,"N",0.222,"N",TRUE
10801,"N",0.5,"Y",FALSE
10841,"N",0.702,"Y",FALSE
10842,"N",0.316,"N",TRUE
10941,"N",0.772,"Y",FALSE
10948,"N",0.156,"N",TRUE
10960,"N",0.194,"N",TRUE
11007,"N",0.632,"Y",FALSE
11008,"N",0.254,"N",TRUE
11038,"N",0.132,"N",TRUE
11050,"N",0.122,"N",TRUE
11082,"N",0.134,"N",TRUE
11109,"N",0.196,"N",TRUE
11111,"N",0.026,"N",TRUE
11116,"N",0.474,"N",TRUE
11202,"N",0.184,"N",TRUE
11207,"N",0.388,"N",TRUE
11240,"N",0.416,"N",TRUE
11280,"N",0.074,"N",TRUE
11316,"N",0.272,"N",TRUE
11401,"N",0.508,"Y",FALSE
11439,"N",0.296,"N",TRUE
11527,"N",0.378,"N",TRUE
11542,"N",0.36,"N",TRUE
11545,"N",0.232,"N",TRUE
11560,"N",0.798,"Y",FALSE
11575,"N",0.544,"Y",FALSE
11579,"N",0.362,"N",TRUE
11622,"N",0.958,"Y",FALSE
11696,"N",0.39,"N",TRUE
11718,"N",0.638,"Y",FALSE
11724,"N",0.154,"N",TRUE
11733,"N",0.382,"N",TRUE
11803,"N",0.406,"N",TRUE
11856,"N",0.316,"N",TRUE
10001,"N",0.418,"N",TRUE
10077,"N",0.084,"N",TRUE
10085,"N",0.294,"N",TRUE
10132,"N",0.312,"N",TRUE
10149,"N",0.288,"N",TRUE
10158,"N",0.424,"N",TRUE
10184,"N",0.272,"N",TRUE
10191,"N",0.41,"N",TRUE
10216,"N",0.12,"N",TRUE
10235,"N",0.14,"N",TRUE
10252,"N",0.248,"N",TRUE
10274,"N",0.434,"N",TRUE
10351,"N",0.838,"Y",FALSE
10409,"N",0.184,"N",TRUE
10432,"N",0.074,"N",TRUE
10440,"N",0.17,"N",TRUE
10500,"N",0.1,"N",TRUE
10503,"N",0.302,"N",TRUE
10504,"N",0.472,"N",TRUE
10518,"N",0.298,"N",TRUE
10539,"N",0.42,"N",TRUE
10560,"N",0.282,"N",TRUE
10567,"N",0.688,"Y",FALSE
10596,"N",0.162,"N",TRUE
10665,"N",0.29,"N",TRUE
10673,"N",0.136,"N",TRUE
10681,"N",0.144,"N",TRUE
10683,"N",0.856,"Y",FALSE
10709,"N",0.206,"N",TRUE
10739,"N",0.382,"N",TRUE
10751,"N",0.44,"N",TRUE
10785,"N",0.208,"N",TRUE
10821,"N",0.242,"N",TRUE
10828,"N",0.114,"N",TRUE
10836,"N",0.648,"Y",FALSE
10888,"N",0.376,"N",TRUE
10904,"N",0.178,"N",TRUE
10917,"N",0.172,"N",TRUE
10928,"N",0.3,"N",TRUE
10964,"N",0.01,"N",TRUE
10992,"N",0.826,"Y",FALSE
10994,"N",0.588,"Y",FALSE
11002,"N",0.45,"N",TRUE
11004,"N",0.26,"N",TRUE
11032,"N",0.118,"N",TRUE
11044,"N",0.49,"N",TRUE
11048,"N",0.522,"Y",FALSE
11051,"N",0.128,"N",TRUE
11068,"N",0.172,"N",TRUE
11069,"N",0.142,"N",TRUE
11081,"N",0.246,"N",TRUE
11091,"N",0.01,"N",TRUE
11139,"N",0.788,"Y",FALSE
11198,"N",0.006,"N",TRUE
11228,"N",0.338,"N",TRUE
11242,"N",0.016,"N",TRUE
11257,"N",0.22,"N",TRUE
11261,"N",0.49,"N",TRUE
11275,"N",0.132,"N",TRUE
11303,"N",0.164,"N",TRUE
11320,"N",0.156,"N",TRUE
11322,"N",0.424,"N",TRUE
11349,"N",0.2,"N",TRUE
11352,"N",0.156,"N",TRUE
11365,"N",0.01,"N",TRUE
11380,"N",0.248,"N",TRUE
11390,"N",0.312,"N",TRUE
11410,"N",0.12,"N",TRUE
11415,"N",0.226,"N",TRUE
11432,"N",0.858,"Y",FALSE
11451,"N",0.2,"N",TRUE
11468,"N",0.156,"N",TRUE
11471,"N",0.998,"Y",FALSE
11502,"N",0.234,"N",TRUE
11551,"N",0.078,"N",TRUE
11559,"N",0.118,"N",TRUE
11614,"N",0.622,"Y",FALSE
11640,"N",0.286,"N",TRUE
11644,"N",0.716,"Y",FALSE
11659,"N",0.084,"N",TRUE
11673,"N",0.478,"N",TRUE
11675,"N",0.222,"N",TRUE
11698,"N",0.664,"Y",FALSE
11747,"N",0.234,"N",TRUE
11749,"N",0.284,"N",TRUE
11751,"N",0.426,"N",TRUE
11756,"N",0.502,"Y",FALSE
11770,"N",0.506,"Y",FALSE
11780,"N",0.402,"N",TRUE
11788,"N",0.352,"N",TRUE
11847,"N",0.096,"N",TRUE
11849,"N",0.15,"N",TRUE
10047,"N",0.384,"N",TRUE
10111,"N",0.01,"N",TRUE
10133,"N",0.408,"N",TRUE
10164,"N",0.124,"N",TRUE
10195,"N",0.796,"Y",FALSE
10204,"N",0.166,"N",TRUE
10241,"N",0.724,"Y",FALSE
10299,"N",0.924,"Y",FALSE
10369,"N",0.36,"N",TRUE
10423,"N",0.508,"Y",FALSE
10424,"N",0.15,"N",TRUE
10426,"N",0.022,"N",TRUE
10429,"N",0.542,"Y",FALSE
10455,"N",0.972,"Y",FALSE
10472,"N",0.924,"Y",FALSE
10489,"N",0.696,"Y",FALSE
10527,"N",0.456,"N",TRUE
10554,"N",0.434,"N",TRUE
10559,"N",0.074,"N",TRUE
10574,"N",0.07,"N",TRUE
10583,"N",0.19,"N",TRUE
10700,"N",0.216,"N",TRUE
10722,"N",0.42,"N",TRUE
10733,"N",0.412,"N",TRUE
10747,"N",0.806,"Y",FALSE
10765,"N",0.21,"N",TRUE
10766,"N",0.898,"Y",FALSE
10771,"N",0.188,"N",TRUE
10788,"N",0.412,"N",TRUE
10809,"N",0.148,"N",TRUE
10850,"N",0.118,"N",TRUE
10862,"N",0.184,"N",TRUE
10873,"N",0.202,"N",TRUE
10874,"N",0.072,"N",TRUE
10891,"N",0.074,"N",TRUE
10940,"N",0.282,"N",TRUE
10981,"N",0.124,"N",TRUE
11018,"N",0.542,"Y",FALSE
11063,"N",0.074,"N",TRUE
11079,"N",0.04,"N",TRUE
11133,"N",0.186,"N",TRUE
11137,"N",0.22,"N",TRUE
11148,"N",0.158,"N",TRUE
11149,"N",0.106,"N",TRUE
11160,"N",0.184,"N",TRUE
11191,"N",0.034,"N",TRUE
11208,"N",0.04,"N",TRUE
11229,"N",0.072,"N",TRUE
11273,"N",0.098,"N",TRUE
11287,"N",0.148,"N",TRUE
11298,"N",0.014,"N",TRUE
11301,"N",0.072,"N",TRUE
11304,"N",0.06,"N",TRUE
11318,"N",0.23,"N",TRUE
11333,"N",0.1,"N",TRUE
11358,"N",0.086,"N",TRUE
11360,"N",0.48,"N",TRUE
11381,"N",0.036,"N",TRUE
11391,"N",0.706,"Y",FALSE
11402,"N",0.328,"N",TRUE
11495,"N",0.282,"N",TRUE
11572,"N",0.066,"N",TRUE
11643,"N",0.064,"N",TRUE
11692,"N",0.29,"N",TRUE
11693,"N",0.384,"N",TRUE
11713,"N",0.626,"Y",FALSE
11739,"N",0.064,"N",TRUE
11745,"N",0.466,"N",TRUE
11746,"N",0.64,"Y",FALSE
11774,"N",0.364,"N",TRUE
11813,"N",0.08,"N",TRUE
11825,"N",0.248,"N",TRUE
11851,"N",0.192,"N",TRUE
10016,"N",0.29,"N",TRUE
10035,"N",0.052,"N",TRUE
10055,"N",0.026,"N",TRUE
10067,"N",0.67,"Y",FALSE
10072,"N",0.098,"N",TRUE
10083,"N",0.072,"N",TRUE
10087,"N",0.042,"N",TRUE
10096,"N",0.082,"N",TRUE
10160,"N",0.074,"N",TRUE
10219,"N",0.192,"N",TRUE
10239,"N",0.026,"N",TRUE
10266,"N",0.168,"N",TRUE
10279,"N",0.136,"N",TRUE
10523,"N",0.37,"N",TRUE
10541,"N",0.468,"N",TRUE
10563,"N",0.192,"N",TRUE
10594,"N",0.344,"N",TRUE
10605,"N",0.1,"N",TRUE
10643,"N",0.218,"N",TRUE
10655,"N",0.244,"N",TRUE
10682,"N",0.022,"N",TRUE
10731,"N",0.49,"N",TRUE
10738,"N",0.93,"Y",FALSE
10884,"N",0.04,"N",TRUE
10889,"N",0.042,"N",TRUE
10908,"N",0.378,"N",TRUE
10938,"N",0.618,"Y",FALSE
10953,"N",0.048,"N",TRUE
10956,"N",0.358,"N",TRUE
10982,"N",0.01,"N",TRUE
11035,"N",0.04,"N",TRUE
11040,"N",0.152,"N",TRUE
11058,"N",0.206,"N",TRUE
11065,"N",0.556,"Y",FALSE
11073,"N",0.066,"N",TRUE
11094,"N",0.254,"N",TRUE
11095,"N",0.542,"Y",FALSE
11110,"N",0.002,"N",TRUE
11118,"N",0.12,"N",TRUE
11140,"N",0.434,"N",TRUE
11141,"N",0.054,"N",TRUE
11143,"N",0.072,"N",TRUE
11154,"N",0.154,"N",TRUE
11156,"N",0.752,"Y",FALSE
11182,"N",0.004,"N",TRUE
11183,"N",0.04,"N",TRUE
11192,"N",0.172,"N",TRUE
11197,"N",0.026,"N",TRUE
11205,"N",0.044,"N",TRUE
11214,"N",0.108,"N",TRUE
11221,"N",0.472,"N",TRUE
11224,"N",0.036,"N",TRUE
11252,"N",0.046,"N",TRUE
11253,"N",0.062,"N",TRUE
11255,"N",0.176,"N",TRUE
11268,"N",0.596,"Y",FALSE
11270,"N",0,"N",TRUE
11299,"N",0.74,"Y",FALSE
11321,"N",0.364,"N",TRUE
11334,"N",0.066,"N",TRUE
11338,"N",0.094,"N",TRUE
11355,"N",0.234,"N",TRUE
11373,"N",0.036,"N",TRUE
11399,"N",0.102,"N",TRUE
11409,"N",0.334,"N",TRUE
11428,"N",0.362,"N",TRUE
11486,"N",0.156,"N",TRUE
11487,"N",0,"N",TRUE
11506,"N",0.748,"Y",FALSE
11563,"N",0.292,"N",TRUE
11566,"N",0.184,"N",TRUE
11571,"N",0.132,"N",TRUE
11573,"N",0.03,"N",TRUE
11633,"N",0.274,"N",TRUE
11642,"N",0.15,"N",TRUE
11651,"N",0.724,"Y",FALSE
11682,"N",0.196,"N",TRUE
11760,"N",0.078,"N",TRUE
11771,"N",0.324,"N",TRUE
11786,"N",0.182,"N",TRUE
11799,"N",0.184,"N",TRUE
11858,"N",0.212,"N",TRUE
10060,"N",0.142,"N",TRUE
10112,"N",0.06,"N",TRUE
10257,"N",0.128,"N",TRUE
10362,"N",0.444,"N",TRUE
10374,"N",0.28,"N",TRUE
10404,"N",0.232,"N",TRUE
10473,"N",0.56,"Y",FALSE
10488,"N",0.946,"Y",FALSE
10498,"N",0.176,"N",TRUE
10520,"N",0.306,"N",TRUE
10528,"N",0.646,"Y",FALSE
10547,"N",0.03,"N",TRUE
10595,"N",0.96,"Y",FALSE
10622,"N",0.094,"N",TRUE
10663,"N",0.08,"N",TRUE
10679,"N",0.152,"N",TRUE
10707,"N",0.166,"N",TRUE
10710,"N",0.408,"N",TRUE
10711,"N",0.526,"Y",FALSE
10718,"N",0.292,"N",TRUE
10764,"N",0.046,"N",TRUE
10818,"N",0.416,"N",TRUE
10831,"N",0.242,"N",TRUE
10849,"N",0.194,"N",TRUE
10903,"N",0.696,"Y",FALSE
10906,"N",0.296,"N",TRUE
10969,"N",0.408,"N",TRUE
11010,"N",0.198,"N",TRUE
11023,"N",0.7,"Y",FALSE
11071,"N",0.052,"N",TRUE
11087,"N",0.108,"N",TRUE
11089,"N",0.12,"N",TRUE
11124,"N",0.248,"N",TRUE
11169,"N",0.444,"N",TRUE
11174,"N",0.434,"N",TRUE
11175,"N",0.116,"N",TRUE
11188,"N",0.246,"N",TRUE
11193,"N",0.444,"N",TRUE
11269,"N",0.02,"N",TRUE
11278,"N",0.368,"N",TRUE
11312,"N",0.106,"N",TRUE
11328,"N",0.134,"N",TRUE
11341,"N",0.122,"N",TRUE
11346,"N",0.318,"N",TRUE
11347,"N",0.248,"N",TRUE
11348,"N",0.2,"N",TRUE
11364,"N",0.06,"N",TRUE
11397,"N",0.044,"N",TRUE
