"UniqueID","startprice","startprice.log.predict."
10001,159.99,5.28924780237424
10002,0.99,0.66903244739769
10003,199.99,5.33333287784956
10004,235,5.51688136911384
10005,199.99,5.69734245843107
10006,175,5.0962254336365
10007,100,4.41720683849922
10008,329.99,5.88255648614563
10009,0.99,0.69292491807218
10010,150,5.2593907498787
10011,199.99,5.30858283883956
10012,99.99,4.53051131158125
10013,20,3.19635171628512
10014,75,4.27616848007029
10015,199.99,5.32124559262421
10016,344.95,5.91007881232242
10017,184.5,5.27668093326008
10018,209.98,5.43085435939711
10019,375,5.91730163888052
10020,95,4.58410168023557
10021,125,4.97748196409796
10022,187.5,5.317399828044
10023,129.99,5.38216155230588
10024,329.99,5.15867574210429
10025,149,6.01454453461212
10026,238.8,5.28846642344304
10027,84.99,4.50930221617026
10028,249.99,5.31397688545793
10029,309.99,5.44229392956837
10030,319.95,5.8373499225571
10031,185,5.22194633743805
10032,90,4.51432550498231
10033,299.98,5.71067617192901
10034,49,4.06889482014954
10035,444.99,5.91398181892823
10036,480,6.01526546402062
10037,225,5.4517163057268
10038,79,4.38377840859713
10039,189.85,5.31612148492308
10040,159.99,5.31245732148982
10041,199.99,5.33276713053325
10042,115,4.64883230985649
10043,289.95,5.10930479113025
10044,499.95,5.81234784702548
10045,199.99,5.38704679195424
10046,550,6.35677449772523
10047,209.99,5.41913955575737
10048,185,5.22351202674937
10049,100,4.43924803318213
10050,279.99,5.53273107003063
10051,614.99,6.41772958019964
10052,259,5.42369095816285
10053,240,5.30789878087153
10054,69.99,4.55144456490472
10055,398.99,5.69920001388849
10056,175,5.09020668480127
10057,84.99,5.00324614592227
10058,269.99,4.81017375779383
10059,295,5.40776199415284
10060,210,5.25896525834045
10061,160,5.26506444909402
10062,0.99,0.63309514567886
10063,304.89,5.59802966018657
10064,0.99,0.684788929484177
10065,195,5.25350343344272
10066,319,5.19267162753267
10067,389.99,6.00522507079432
10068,79.99,4.43799634915336
10069,254.99,5.45721755325344
10070,115,4.73134145805346
10071,159.95,5.2469842887397
10072,279.99,5.7432972601937
10073,99.99,4.47890956064874
10074,75,4.32738572184329
10075,135,4.51949426950574
10076,130,4.87167483804359
10077,119.95,5.32683581851399
10078,50,3.93079316864375
10079,269.94,5.45707505599019
10080,380,5.93730183758032
10081,0.99,0.675915985873949
10082,169.95,4.82233211684685
10083,319.85,6.01329332946346
10084,329.99,5.95810417875676
10085,249.95,5.2262799680002
10086,130,4.86933732800585
10087,550,5.96178680554079
10088,169.98,5.31336467124306
10089,149.99,5.05615290325196
10090,305,5.70995085251219
10091,0.01,0.324742885445698
10092,450,6.05207831116671
10093,194.29,5.45948170227901
10094,193.15,5.22275070337239
10095,62,4.26171029482978
10096,489.99,5.89065922084562
10097,99,4.10245609951624
10098,45,3.91402611379231
10099,134.95,4.88734014215803
10100,199.99,5.36190714933578
10101,264.99,5.62049183051402
10102,349,5.97955735048036
10103,160,4.28053824005793
10104,295,5.63921913767162
10105,199,5.30600198908766
10106,279.95,4.99695722934267
10107,149.95,4.85757294410893
10108,290,5.69606812819076
10109,339.99,5.88394073777729
10110,99,4.64143083491215
10111,320,5.37124986498278
10112,255,2.18044283023565
10113,114.99,4.71016450227907
10114,250,5.22379901191478
10115,250,5.44590768689407
10116,549.99,6.16915518599873
10117,215,5.38078218332443
10118,325,5.8058534501115
10119,199.99,5.24013520159133
10120,250,4.42136338857803
10121,249.99,5.34123925861679
10122,299.99,5.40044763433521
10123,159.99,4.73061131919473
10124,9.99,2.89783864227376
10125,125,5.14910136604216
10126,344,5.48767934102493
10127,100,4.12830598930606
10128,250,5.44591435368583
10129,175,5.45022245059222
10130,100,4.60781737387672
10131,150,5.1317476730453
10132,119.99,5.50148358307714
10133,225,5.29407526801495
10134,49.49,3.73579060094525
10135,225,4.04892564590568
10136,389.99,5.78314430153122
10137,255,5.49967225480006
10138,25,3.40279365265988
10139,274.99,5.6712704528028
10140,0.99,1.7313270201953
10141,185,4.99234226526131
10142,250,5.49337664117785
10143,99,4.60560741397746
10144,215,5.49966604900331
10145,58,3.79457465133334
10146,187.5,5.44447013727647
10147,189.99,5.31789987003066
10148,229,5.76587760266446
10149,159.93,5.34626188450245
10150,89.95,4.40226972579879
10151,60,4.1704061558147
10152,0.99,0.677341252948594
10153,639.99,6.12586759993238
10154,40,3.88795790571075
10155,284.99,5.46727796793954
10156,29.99,3.44129663308878
10157,49.99,3.70395413667126
10158,139.98,5.24358792918005
10159,199,5.27822275790491
10160,294.99,5.80121590274508
10161,499,6.20629469792962
10162,50,3.95760218732671
10163,299.99,5.94179552663097
10164,270,5.68020875339744
10165,80,4.37606303464025
10166,0.01,0.305026533819118
10167,399.99,5.71670154989641
10168,279.95,4.85144200884834
10169,50,3.99410479102874
