"UniqueID","sold.fctr","sold.fctr.predict.All.X.no.rnorm.rf.prob","sold.fctr.predict.All.X.no.rnorm.rf","sold.fctr.predict.All.X.no.rnorm.rf.accurate"
10066,"N",0.49,"N",TRUE
10094,"N",0.39,"N",TRUE
10199,"N",0.996,"Y",FALSE
10244,"N",0.092,"N",TRUE
10451,"N",0.222,"N",TRUE
10537,"N",0.006,"N",TRUE
10602,"N",0.07,"N",TRUE
10632,"N",0.048,"N",TRUE
10651,"N",0.02,"N",TRUE
10676,"N",0.114,"N",TRUE
10806,"N",0.074,"N",TRUE
10807,"N",0.46,"N",TRUE
10829,"N",0.016,"N",TRUE
10921,"N",0.106,"N",TRUE
11001,"N",0.12,"N",TRUE
11029,"N",0.01,"N",TRUE
11031,"N",0.162,"N",TRUE
11187,"N",0.004,"N",TRUE
11266,"N",0.004,"N",TRUE
11282,"N",0.02,"N",TRUE
11294,"N",0.098,"N",TRUE
11307,"N",0.422,"N",TRUE
11357,"N",0.06,"N",TRUE
11386,"N",0.408,"N",TRUE
11389,"N",0.12,"N",TRUE
11393,"N",0.432,"N",TRUE
11403,"N",0,"N",TRUE
11417,"N",0.14,"N",TRUE
11419,"N",0.064,"N",TRUE
11434,"N",0.01,"N",TRUE
11445,"N",0,"N",TRUE
11446,"N",0.002,"N",TRUE
11449,"N",0.002,"N",TRUE
11458,"N",0.056,"N",TRUE
11459,"N",0,"N",TRUE
11465,"N",0.102,"N",TRUE
11466,"N",0.14,"N",TRUE
11526,"N",0.328,"N",TRUE
11574,"N",0.12,"N",TRUE
11585,"N",0.152,"N",TRUE
11587,"N",0.12,"N",TRUE
11594,"N",0.146,"N",TRUE
11597,"N",0.234,"N",TRUE
11606,"N",0.214,"N",TRUE
11700,"N",0.946,"Y",FALSE
11763,"N",0.226,"N",TRUE
11769,"N",0.888,"Y",FALSE
11819,"N",0.34,"N",TRUE
11827,"N",0.202,"N",TRUE
11836,"N",0.802,"Y",FALSE
11853,"N",0.114,"N",TRUE
11854,"N",0.212,"N",TRUE
10012,"N",0.512,"N",TRUE
10054,"N",0.34,"N",TRUE
10058,"N",0.156,"N",TRUE
10106,"N",0.16,"N",TRUE
10110,"N",0.362,"N",TRUE
10127,"N",0.584,"N",TRUE
10168,"N",0.16,"N",TRUE
10254,"N",0.218,"N",TRUE
10283,"N",0.998,"Y",FALSE
10317,"N",0.224,"N",TRUE
10382,"N",0.294,"N",TRUE
10494,"N",0.162,"N",TRUE
10512,"N",0.634,"Y",FALSE
10526,"N",0.868,"Y",FALSE
10564,"N",0.456,"N",TRUE
10568,"N",0.428,"N",TRUE
10581,"N",0.878,"Y",FALSE
10586,"N",0.12,"N",TRUE
10638,"N",0.214,"N",TRUE
10658,"N",0.44,"N",TRUE
10706,"N",0.052,"N",TRUE
10735,"N",0.274,"N",TRUE
10743,"N",0.364,"N",TRUE
10772,"N",0.338,"N",TRUE
10857,"N",0.262,"N",TRUE
10948,"N",0.066,"N",TRUE
10955,"N",0.994,"Y",FALSE
10959,"N",0.268,"N",TRUE
11007,"N",0.528,"N",TRUE
11038,"N",0.28,"N",TRUE
11050,"N",0.36,"N",TRUE
11076,"N",0.246,"N",TRUE
11109,"N",0.392,"N",TRUE
11152,"N",0.04,"N",TRUE
11155,"N",0.058,"N",TRUE
11202,"N",0.07,"N",TRUE
11240,"N",0.102,"N",TRUE
11280,"N",0.082,"N",TRUE
11345,"N",0.126,"N",TRUE
11447,"N",0.04,"N",TRUE
11545,"N",0.336,"N",TRUE
11560,"N",0.16,"N",TRUE
11575,"N",0.264,"N",TRUE
