UniqueID,Probability1
11862,0.306
11863,0.372
11864,0.234
11865,0.682
11866,0.444
11867,0.162
11868,0.472
11869,0.374
11870,0.298
11871,0.9999
11872,0.15
11873,0.212
11874,0.48
11875,0.9999
11876,0.544
11877,0.204
11878,0.47
11879,0.382
11880,0.57
11881,0.198
11882,0.158
11883,0.478
11884,0.14
11885,0.168
11886,0.788
11887,0.234
11888,0.414
11889,0.176
11890,0.424
11891,0.686
11892,0.262
11893,0.364
11894,0.28
11895,0.276
11896,0.104
11897,0.404
11898,0.278
11899,0.168
11900,0.274
11901,0.262
11902,0.644
11903,0.074
11904,0.418
11905,0.184
11906,0.7
11907,0.00600000000000001
11908,0.2
11909,0.216
11910,0.35
11911,0.058
11912,0.346
11913,0.9999
11914,0.244
11915,0.466
11916,0.052
11917,0.76
11918,0.626
11919,0.318
11920,0.21
11921,0.106
11922,0.844
11923,0.654
11924,0.218
11925,0.794
11926,0.266
11927,0.63
11928,0.28
11929,0.408
11930,0.662
11931,0.872
11932,0.374
11933,0.374
11934,0.45
11935,0.404
11936,0.312
11937,0.9999
11938,0.234
11939,0.15
11940,0.344
11941,0.234
11942,0.656
11943,0
11944,0.568
11945,0.794
11946,0.682
11947,0.782
11948,0.564
11949,0.692
11950,0.612
11951,0.336
11952,0.116
11953,0.684
11954,0.314
11955,0.804
11956,0.662
11957,0.456
11958,0.252
11959,0.662
11960,0.748
11961,0.768
11962,0.194
11963,0.13
11964,0.734
11965,0.336
11966,0.838
11967,0.9999
11968,0.586
11969,0.492
11970,0.708
11971,0.378
11972,0.54
11973,0.828
11974,0.69
11975,0.874
11976,0.248
11977,0.78
11978,0.278
11979,0.706
11980,0.54
11981,0.666
11982,0.674
11983,0.664
11984,0.59
11985,0.662
11986,0.472
11987,0.59
11988,0.19
11989,0.702
11990,0.9999
11991,0.706
11992,0.674
11993,0.734
11994,0.582
11995,0.308
11996,0.746
11997,0.298
11998,0.108
11999,0.654
12000,0.9999
12001,0.696
12002,0.9999
12003,0.798
12004,0.844
12005,0.706
12006,0.31
12007,0.61
12008,0.238
12009,0.644
12010,0.712
12011,0.72
12012,0.346
12013,0.354
12014,0.68
12015,0.696
12016,0.462
12017,0.706
12018,0.662
12019,0.588
12020,0.52
12021,0.9999
12022,0.644
12023,0.698
12024,0.45
12025,0.874
12026,0.624
12027,0.594
12028,0.22
12029,0.472
12030,0.68
12031,0.744
12032,0.512
12033,0.304
12034,0.288
12035,0.108
12036,0.252
12037,0.416
12038,0.434
12039,0.418
12040,0.254
12041,0.288
12042,0.682
12043,0.1
12044,0.738
12045,0.27
12046,0.196
12047,0.03
12048,0.586
12049,0.688
12050,0.234
12051,0.372
12052,0.382
12053,0.224
12054,0.318
12055,0.694
12056,0.684
12057,0.408
12058,0.314
12059,0.268
12060,0.496
12061,0.612
12062,0.7
12063,0.316
12064,0.518
12065,0.76
12066,0.342
12067,0.62
12068,0.274
12069,0.068
12070,0.052
12071,0.358
12072,0.9999
12073,0.27
12074,0.332
12075,0.258
12076,0.682
12077,0.482
12078,0.208
12079,0.406
12080,0.284
12081,0.494
12082,0.674
12083,0.782
12084,0.828
12085,0.166
12086,0.358
12087,0.792
12088,0.322
12089,0.788
12090,0.738
12091,0.722
12092,0.238
12093,0.278
12094,0.616
12095,0.436
12096,0.414
12097,0.834
12098,0.172
12099,0.246
12100,0.516
12101,0.208
12102,0.63
12103,0.144
12104,0.718
12105,0.588
12106,0.196
12107,0.666
12108,0.29
12109,0.484
12110,0.532
12111,0.908
12112,0.322
12113,0.6
12114,0.9999
12115,0
12116,0.522
12117,0.224
12118,0.638
12119,0.306
12120,0.282
12121,0.754
12122,0.234
12123,0.664
12124,0.85
12125,0.66
12126,0.9999
12127,0.66
12128,0.46
12129,0.534
12130,0.85
12131,0.488
12132,0.24
12133,0.19
12134,0.792
12135,0.358
12136,0.82
12137,0.212
12138,0.246
12139,0.632
12140,0.266
12141,0.238
12142,0.238
12143,0.52
12144,0.056
12145,0.584
12146,0.772
12147,0.806
12148,0.388
12149,0.816
12150,0.132
12151,0.566
12152,0.9999
12153,0.16
12154,0.298
12155,0.298
12156,0.834
12157,0.608
12158,0.39
12159,0.17
12160,0.34
12161,0.522
12162,0.486
12163,0.308
12164,0.424
12165,0.326
12166,0.664
12167,0.23
12168,0.594
12169,0.76
12170,0.576
12171,0.334
12172,0.9999
12173,0.834
12174,0.426
12175,0.546
12176,0.446
12177,0.632
12178,0.104
12179,0.448
12180,0.332
12181,0.742
12182,0.49
12183,0.218
12184,0.424
12185,0.248
12186,0.226
12187,0.244
12188,0.384
12189,0.296
12190,0.752
12191,0.21
12192,0.262
12193,0.154
12194,0.376
12195,0.382
12196,0.664
12197,0.08
12198,0.406
12199,0.288
12200,0.594
12201,0.684
12202,0.08
12203,0.212
12204,0.22
12205,0.458
12206,0.588
12207,0.284
12208,0.53
12209,0.3
12210,0.098
12211,0.4
12212,0.216
12213,0.9999
12214,0.686
12215,0.818
12216,0.134
12217,0.242
12218,0.312
12219,0.396
12220,0.334
12221,0.47
12222,0.26
12223,0.212
12224,0.434
12225,0.396
12226,0.274
12227,0.668
12228,0.31
12229,0.508
12230,0.336
12231,0.784
12232,0.784
12233,0.844
12234,0.706
12235,0.464
12236,0.256
12237,0.756
12238,0.69
12239,0.486
12240,0.838
12241,0.256
12242,0.104
12243,0.182
12244,0.6
12245,0.822
12246,0.474
12247,0.088
12248,0.728
12249,0.308
12250,0.088
12251,0.262
12252,0.212
12253,0
12254,0.85
12255,0.166
12256,0.494
12257,0.208
12258,0.18
12259,0.058
12260,0.79
12261,0.278
12262,0.064
12263,0.61
12264,0.61
12265,0.626
12266,0.042
12267,0.056
12268,0.338
12269,0.146
12270,0.21
12271,0.71
12272,0.286
12273,0.33
12274,0.224
12275,0.236
12276,0.09
12277,0.36
12278,0.9999
12279,0.434
12280,0.23
12281,0.102
12282,0.166
12283,0.238
12284,0.09
12285,0
12286,0.36
12287,0.342
12288,0.07
12289,0.23
12290,0.246
12291,0.254
12292,0.184
12293,0.156
12294,0.056
12295,0.448
12296,0.076
12297,0.22
12298,0.356
12299,0.872
12300,0.082
12301,0.408
12302,0.388
12303,0.292
12304,0.392
12305,0.716
12306,0.068
12307,0.186
12308,0.78
12309,0.226
12310,0.68
12311,0.122
12312,0.108
12313,0.052
12314,0.276
12315,0.32
12316,0.27
12317,0.09
12318,0.352
12319,0.098
12320,0.098
12321,0.168
12322,0.684
12323,0.16
12324,0.5
12325,0.3
12326,0.22
12327,0.3
12328,0.048
12329,0.108
12330,0.046
12331,0.344
12332,0.678
12333,0.168
12334,0.026
12335,0.124
12336,0.148
12337,0.42
12338,0.044
12339,0.272
12340,0.8
12341,0.078
12342,0.394
12343,0.176
12344,0.3
12345,0.176
12346,0.644
12347,0.592
12348,0.812
12349,0.13
12350,0.098
12351,0.074
12352,0.652
12353,0.812
12354,0.646
12355,0.35
12356,0.184
12357,0.348
12358,0.42
12359,0.332
12360,0.146
12361,0.23
12362,0.344
12363,0.092
12364,0.198
12365,0.05
12366,0.472
12367,0
12368,0.244
12369,0.166
12370,0.356
12371,0.088
12372,0.414
12373,0.498
12374,0.752
12375,0.144
12376,0.216
12377,0.256
12378,0.266
12379,0.122
12380,0.36
12381,0.294
12382,0.414
12383,0.306
12384,0.288
12385,0.122
12386,0.172
12387,0.17
12388,0
12389,0.152
12390,0.116
12391,0.34
12392,0.722
12393,0.158
12394,0.192
12395,0.1
12396,0.288
12397,0.098
12398,0.302
12399,0.32
12400,0.128
12401,0.446
12402,0.444
12403,0.3
12404,0.068
12405,0.128
12406,0.546
12407,0.264
12408,0.256
12409,0.474
12410,0.238
12411,0.204
12412,0.072
12413,0.584
12414,0.128
12415,0.316
12416,0.17
12417,0.142
12418,0.118
12419,0.164
12420,0.466
12421,0.224
12422,0.084
12423,0.11
12424,0.074
12425,0.092
12426,0.144
12427,0.086
12428,0.3
12429,0.226
12430,0.312
12431,0.076
12432,0.642
12433,0.206
12434,0.342
12435,0.258
12436,0.186
12437,0.554
12438,0.114
12439,0.09
12440,0.556
12441,0.128
12442,0.146
12443,0.212
12444,0.084
12445,0.142
12446,0.53
12447,0.486
12448,0.502
12449,0.168
12450,0.21
12451,0.04
12452,0.126
12453,0.072
12454,0.056
12455,0.294
12456,0.638
12457,0.096
12458,0.102
12459,0.454
12460,0.152
12461,0.672
12462,0.116
12463,0.254
12464,0.14
12465,0.342
12466,0.42
12467,0.774
12468,0.112
12469,0.124
12470,0.232
12471,0.504
12472,0.14
12473,0.2
12474,0.178
12475,0.27
12476,0.196
12477,0.322
12478,0.334
12479,0.418
12480,0.418
12481,0.418
12482,0.308
12483,0.304
12484,0.192
12485,0.322
12486,0.364
12487,0.32
12488,0.416
12489,0.23
12490,0.634
12491,0.9999
12492,0.216
12493,0.588
12494,0.224
12495,0.178
12496,0.208
12497,0.38
12498,0.698
12499,0.206
12500,0.228
12501,0.254
12502,0.37
12503,0.258
12504,0.276
12505,0.9999
12506,0.224
12507,0.392
12508,0.226
12509,0.232
12510,0.3
12511,0.358
12512,0.31
12513,0.294
12514,0.094
12515,0.356
12516,0.388
12517,0.536
12518,0.182
12519,0.486
12520,0.066
12521,0.17
12522,0.19
12523,0.134
12524,0.23
12525,0.144
12526,0.152
12527,0.11
12528,0.148
12529,0.408
12530,0.116
12531,0.468
12532,0.066
12533,0.204
12534,0.276
12535,0.332
12536,0.176
12537,0.086
12538,0.32
12539,0.052
12540,0.454
12541,0.046
12542,0.264
12543,0.4
12544,0.24
12545,0.252
12546,0.152
12547,0.132
12548,0.116
12549,0.34
12550,0.406
12551,0.426
12552,0.154
12553,0.288
12554,0.168
12555,0.55
12556,0.584
12557,0.546
12558,0.542
12559,0.634
12560,0.402
12561,0.218
12562,0.47
12563,0.582
12564,0.592
12565,0.61
12566,0.87
12567,0.824
12568,0.618
12569,0.472
12570,0.63
12571,0.832
12572,0.7
12573,0.654
12574,0.16
12575,0.588
12576,0.9
12577,0.64
12578,0.318
12579,0.57
12580,0.392
12581,0.59
12582,0.43
12583,0.298
12584,0.61
12585,0
12586,0.61
12587,0.54
12588,0.868
12589,0.384
12590,0.508
12591,0.35
12592,0.684
12593,0.428
12594,0.386
12595,0.828
12596,0.348
12597,0.836
12598,0.498
12599,0.786
12600,0.182
12601,0.666
12602,0.424
12603,0.466
12604,0.412
12605,0.61
12606,0.59
12607,0.362
12608,0.874
12609,0.472
12610,0.412
12611,0.618
12612,0.578
12613,0.152
12614,0.442
12615,0.136
12616,0.316
12617,0.198
12618,0.206
12619,0.578
12620,0.184
12621,0.836
12622,0.17
12623,0.864
12624,0.424
12625,0.412
12626,0.33
12627,0.432
12628,0.42
12629,0.132
12630,0.73
12631,0.568
12632,0.218
12633,0.068
12634,0.164
12635,0.63
12636,0.212
12637,0.35
12638,0.366
12639,0.834
12640,0.41
12641,0.266
12642,0.118
12643,0.5
12644,0.498
12645,0.658
12646,0.49
12647,0.658
12648,0.778
12649,0.772
12650,0.332
12651,0.388
12652,0.342
12653,0.734
12654,0.612
12655,0.608
12656,0.268
12657,0.372
12658,0.42
12659,0.31
