"UniqueID","sold.fctr","sold.fctr.predict.All.X.no.rnorm.rf.prob","sold.fctr.predict.All.X.no.rnorm.rf","sold.fctr.predict.All.X.no.rnorm.rf.accurate"
10066,"N",0.172,"N",TRUE
10094,"N",0.38,"N",TRUE
10199,"N",0.946,"Y",FALSE
10244,"N",0.126,"N",TRUE
10451,"N",0.408,"N",TRUE
10537,"N",0.04,"N",TRUE
10602,"N",0.554,"Y",FALSE
10632,"N",0.182,"N",TRUE
10651,"N",0.26,"N",TRUE
10676,"N",0.15,"N",TRUE
10806,"N",0.146,"N",TRUE
10807,"N",0.326,"N",TRUE
10829,"N",0.212,"N",TRUE
10921,"N",0.17,"N",TRUE
11001,"N",0.256,"N",TRUE
11029,"N",0.04,"N",TRUE
11031,"N",0.128,"N",TRUE
11187,"N",0.014,"N",TRUE
11266,"N",0.112,"N",TRUE
11282,"N",0,"N",TRUE
11294,"N",0.076,"N",TRUE
11307,"N",0.218,"N",TRUE
11357,"N",0.248,"N",TRUE
11386,"N",0.13,"N",TRUE
11389,"N",0.27,"N",TRUE
11393,"N",0.134,"N",TRUE
11403,"N",0.02,"N",TRUE
11417,"N",0.19,"N",TRUE
11419,"N",0.086,"N",TRUE
11434,"N",0.078,"N",TRUE
11445,"N",0.136,"N",TRUE
11446,"N",0.05,"N",TRUE
11449,"N",0.23,"N",TRUE
11458,"N",0.038,"N",TRUE
11459,"N",0.026,"N",TRUE
11465,"N",0.21,"N",TRUE
11466,"N",0.202,"N",TRUE
11526,"N",0.648,"Y",FALSE
11574,"N",0.126,"N",TRUE
11585,"N",0.416,"N",TRUE
11587,"N",0.24,"N",TRUE
11594,"N",0.262,"N",TRUE
11597,"N",0.136,"N",TRUE
11606,"N",0.14,"N",TRUE
11700,"N",0.81,"Y",FALSE
11763,"N",0.396,"N",TRUE
11769,"N",0.864,"Y",FALSE
11819,"N",0.418,"N",TRUE
11827,"N",0.392,"N",TRUE
11836,"N",0.606,"Y",FALSE
11853,"N",0.254,"N",TRUE
11854,"N",0.324,"N",TRUE
10012,"N",0.344,"N",TRUE
10054,"N",0.374,"N",TRUE
10082,"N",0.29,"N",TRUE
10106,"N",0.084,"N",TRUE
10127,"N",0.644,"Y",FALSE
10168,"N",0.086,"N",TRUE
10283,"N",0.994,"Y",FALSE
10317,"N",0.224,"N",TRUE
10366,"N",0.326,"N",TRUE
10382,"N",0.188,"N",TRUE
10466,"N",0.214,"N",TRUE
10512,"N",0.654,"Y",FALSE
10526,"N",0.968,"Y",FALSE
10564,"N",0.714,"Y",FALSE
10581,"N",0.948,"Y",FALSE
10586,"N",0.34,"N",TRUE
10603,"N",0.57,"Y",FALSE
10645,"N",0.276,"N",TRUE
10687,"N",0.856,"Y",FALSE
10735,"N",0.392,"N",TRUE
10743,"N",0.706,"Y",FALSE
10772,"N",0.404,"N",TRUE
10801,"N",0.584,"Y",FALSE
10841,"N",0.634,"Y",FALSE
10948,"N",0.04,"N",TRUE
10959,"N",0.28,"N",TRUE
10960,"N",0.072,"N",TRUE
11009,"N",0.572,"Y",FALSE
11046,"N",0.276,"N",TRUE
11050,"N",0.098,"N",TRUE
11076,"N",0.162,"N",TRUE
11080,"N",0.108,"N",TRUE
11111,"N",0.098,"N",TRUE
11114,"N",0.328,"N",TRUE
11116,"N",0.388,"N",TRUE
11155,"N",0.226,"N",TRUE
11201,"N",0.266,"N",TRUE
11207,"N",0.462,"N",TRUE
11234,"N",0.438,"N",TRUE
11240,"N",0.076,"N",TRUE
11280,"N",0.144,"N",TRUE
11305,"N",0.074,"N",TRUE
11309,"N",0.52,"Y",FALSE
11401,"N",0.344,"N",TRUE
11523,"N",0.388,"N",TRUE
11545,"N",0.288,"N",TRUE
11575,"N",0.25,"N",TRUE
11696,"N",0.372,"N",TRUE
11724,"N",0.186,"N",TRUE
11775,"N",0.23,"N",TRUE
11806,"N",0.122,"N",TRUE
11856,"N",0.486,"N",TRUE
11861,"N",0.29,"N",TRUE
10023,"N",0.352,"N",TRUE
10088,"N",0.226,"N",TRUE
10129,"N",0.44,"N",TRUE
10149,"N",0.232,"N",TRUE
10191,"N",0.434,"N",TRUE
10216,"N",0.13,"N",TRUE
10235,"N",0.3,"N",TRUE
10252,"N",0.442,"N",TRUE
10274,"N",0.326,"N",TRUE
10282,"N",0.618,"Y",FALSE
10325,"N",0.274,"N",TRUE
10409,"N",0.508,"Y",FALSE
10432,"N",0.154,"N",TRUE
10440,"N",0.24,"N",TRUE
10503,"N",0.244,"N",TRUE
10504,"N",0.942,"Y",FALSE
10522,"N",0.086,"N",TRUE
10539,"N",0.348,"N",TRUE
10560,"N",0.322,"N",TRUE
10567,"N",0.852,"Y",FALSE
10569,"N",0.898,"Y",FALSE
10596,"N",0.192,"N",TRUE
10628,"N",0.424,"N",TRUE
10665,"N",0.2,"N",TRUE
