UniqueID,Probability1
11862,0.244
11863,0.266
11864,0.294
11865,0.492
11866,0.374
11867,0.152
11868,0.428
11869,0.234
11870,0.252
11871,0.522
11872,0.248
11873,0.364
11874,0.302
11875,0.642
11876,0.218
11877,0.466
11878,0.546
11879,0.174
11880,0.498
11881,0.44
11882,0.19
11883,0.14
11884,0.208
11885,0.544
11886,0.142
11887,0.304
11888,0.254
11889,0.17
11890,0.284
11891,0.836
11892,0.316
11893,0.532
11894,0.366
11895,0.176
11896,0.268
11897,0.228
11898,0.556
11899,0.248
11900,0.322
11901,0.456
11902,0.51
11903,0.086
11904,0.252
11905,0.22
11906,0.506
11907,0.374
11908,0.192
11909,0.202
11910,0.288
11911,0.174
11912,0.098
11913,0.544
11914,0.39
11915,0.312
11916,0.084
11917,0.39
11918,0.546
11919,0.358
11920,0.266
11921,0.094
11922,0.714
11923,0.836
11924,0.374
11925,0.898
11926,0.226
11927,0.586
11928,0.218
11929,0.352
11930,0.826
11931,0.36
11932,0.086
11933,0.48
11934,0.424
11935,0.338
11936,0.248
11937,0.562
11938,0.426
11939,0.246
11940,0.422
11941,0.454
11942,0.582
11943,0.304
11944,0.598
11945,0.848
11946,0.494
11947,0.846
11948,0.426
11949,0.568
11950,0.608
11951,0.436
11952,0.134
11953,0.83
11954,0.248
11955,0.696
11956,0.826
11957,0.462
11958,0.208
11959,0.786
11960,0.722
11961,0.636
11962,0.192
11963,0.204
11964,0.606
11965,0.436
11966,0.764
11967,0.504
11968,0.614
11969,0.442
11970,0.736
11971,0.59
11972,0.448
11973,0.842
11974,0.852
11975,0.822
11976,0.506
11977,0.674
11978,0.47
11979,0.832
11980,0.66
11981,0.576
11982,0.646
11983,0.822
11984,0.608
11985,0.826
11986,0.302
11987,0.518
11988,0.272
11989,0.838
11990,0.542
11991,0.56
11992,0.596
11993,0.822
11994,0.274
11995,0.446
11996,0.72
11997,0.484
11998,0.156
11999,0.284
12000,0.504
12001,0.602
12002,0.804
12003,0.88
12004,0.814
12005,0.554
12006,0.57
12007,0.57
12008,0.392
12009,0.442
12010,0.808
12011,0.83
12012,0.438
12013,0.328
12014,0.556
12015,0.602
12016,0.604
12017,0.832
12018,0.824
12019,0.566
12020,0.524
12021,0.536
12022,0.49
12023,0.58
12024,0.156
12025,0.884
12026,0.748
12027,0.688
12028,0.396
12029,0.408
12030,0.828
12031,0.86
12032,0.662
12033,0.524
12034,0.612
12035,0.124
12036,0.152
12037,0.36
12038,0.438
12039,0.624
12040,0.272
12041,0.536
12042,0.624
12043,0.166
12044,0.698
12045,0.384
12046,0.492
12047,0.066
12048,0.548
12049,0.556
12050,0.198
12051,0.448
12052,0.17
12053,0.396
12054,0.358
12055,0.508
12056,0.684
12057,0.242
12058,0.468
12059,0.494
12060,0.262
12061,0.812
12062,0.852
12063,0.478
12064,0.674
12065,0.576
12066,0.474
12067,0.572
12068,0.708
12069,0.124
12070,0.118
12071,0.218
12072,0.5
12073,0.262
12074,0.52
12075,0.508
12076,0.762
12077,0.312
12078,0.23
12079,0.486
12080,0.458
12081,0.506
12082,0.494
12083,0.788
12084,0.902
12085,0.156
12086,0.218
12087,0.882
12088,0.334
12089,0.624
12090,0.794
12091,0.81
12092,0.396
12093,0.436
12094,0.628
12095,0.266
12096,0.424
12097,0.812
12098,0.25
12099,0.42
12100,0.372
12101,0.23
12102,0.806
12103,0.246
12104,0.28
12105,0.778
12106,0.196
12107,0.84
12108,0.372
12109,0.416
12110,0.21
12111,0.484
12112,0.362
12113,0.662
12114,0.552
12115,0.4
12116,0.504
12117,0.408
12118,0.486
12119,0.24
12120,0.312
12121,0.674
12122,0.464
12123,0.782
12124,0.838
12125,0.614
12126,0.524
12127,0.636
12128,0.286
12129,0.542
12130,0.826
12131,0.298
12132,0.432
12133,0.302
12134,0.792
12135,0.25
12136,0.7
12137,0.324
12138,0.468
12139,0.812
12140,0.5
12141,0.532
12142,0.218
12143,0.322
12144,0.122
12145,0.46
12146,0.866
12147,0.72
12148,0.322
12149,0.894
12150,0.208
12151,0.51
12152,0.816
12153,0.158
12154,0.442
12155,0.41
12156,0.804
12157,0.69
12158,0.416
12159,0.242
12160,0.412
12161,0.504
12162,0.55
12163,0.516
12164,0.494
12165,0.148
12166,0.814
12167,0.43
12168,0.496
12169,0.734
12170,0.454
12171,0.442
12172,0.816
12173,0.846
12174,0.572
12175,0.23
12176,0.462
12177,0.778
12178,0.174
12179,0.242
12180,0.568
12181,0.628
12182,0.608
12183,0.484
12184,0.494
12185,0.428
12186,0.392
12187,0.556
12188,0.64
12189,0.56
12190,0.576
12191,0.452
12192,0.522
12193,0.2
12194,0.382
12195,0.192
12196,0.55
12197,0.288
12198,0.402
12199,0.49
12200,0.54
12201,0.834
12202,0.182
12203,0.432
12204,0.488
12205,0.762
12206,0.694
12207,0.29
12208,0.594
12209,0.536
12210,0.074
12211,0.158
12212,0.386
12213,0.816
12214,0.464
12215,0.902
12216,0.228
12217,0.528
12218,0.172
12219,0.414
12220,0.286
12221,0.52
12222,0.192
12223,0.518
12224,0.542
12225,0.328
12226,0.504
12227,0.59
12228,0.682
12229,0.498
12230,0.432
12231,0.72
12232,0.888
12233,0.546
12234,0.832
12235,0.338
12236,0.612
12237,0.85
12238,0.31
12239,0.682
12240,0.886
12241,0.444
12242,0.212
12243,0.15
12244,0.534
12245,0.884
12246,0.326
12247,0.154
12248,0.606
12249,0.594
12250,0.17
12251,0.338
12252,0.384
12253,0.476
12254,0.824
12255,0.276
12256,0.262
12257,0.408
12258,0.352
12259,0.316
12260,0.878
12261,0.394
12262,0.106
12263,0.824
12264,0.496
12265,0.806
12266,0.07
12267,0.338
12268,0.458
12269,0.12
12270,0.428
12271,0.844
12272,0.55
12273,0.382
12274,0.532
12275,0.388
12276,0.394
12277,0.4
12278,0.58
12279,0.186
12280,0.396
12281,0.24
12282,0.276
12283,0.412
12284,0.204
12285,0.394
12286,0.488
12287,0.282
12288,0.292
12289,0.372
12290,0.274
12291,0.394
12292,0.18
12293,0.246
12294,0.116
12295,0.344
12296,0.168
12297,0.46
12298,0.418
12299,0.36
12300,0.132
12301,0.206
12302,0.254
12303,0.476
12304,0.334
12305,0.464
12306,0.266
12307,0.178
12308,0.84
12309,0.298
12310,0.832
12311,0.2
12312,0.266
12313,0.098
12314,0.126
12315,0.436
12316,0.486
12317,0.144
12318,0.346
12319,0.114
12320,0.228
12321,0.214
12322,0.836
12323,0.374
12324,0.598
12325,0.384
12326,0.226
12327,0.212
12328,0.132
12329,0.246
12330,0.062
12331,0.466
12332,0.828
12333,0.196
12334,0.152
12335,0.166
12336,0.29
12337,0.224
12338,0.084
12339,0.492
12340,0.874
12341,0.282
12342,0.25
12343,0.094
12344,0.454
12345,0.23
12346,0.666
12347,0.37
12348,0.89
12349,0.086
12350,0.308
12351,0.116
12352,0.624
12353,0.878
12354,0.834
12355,0.256
12356,0.284
12357,0.414
12358,0.198
12359,0.416
12360,0.202
12361,0.42
12362,0.322
12363,0.116
12364,0.332
12365,0.12
12366,0.614
12367,0.394
12368,0.408
12369,0.324
12370,0.158
12371,0.184
12372,0.298
12373,0.376
12374,0.85
12375,0.136
12376,0.242
12377,0.24
12378,0.346
12379,0.19
12380,0.338
12381,0.32
12382,0.066
12383,0.206
12384,0.306
12385,0.302
12386,0.31
12387,0.312
12388,0.35
12389,0.132
12390,0.142
12391,0.564
12392,0.83
12393,0.194
12394,0.26
12395,0.078
12396,0.324
12397,0.202
12398,0.266
12399,0.364
12400,0.126
12401,0.31
12402,0.234
12403,0.42
12404,0.144
12405,0.344
12406,0.768
12407,0.372
12408,0.458
12409,0.288
12410,0.146
12411,0.214
12412,0.072
12413,0.512
12414,0.172
12415,0.514
12416,0.186
12417,0.104
12418,0.216
12419,0.222
12420,0.414
12421,0.324
12422,0.086
12423,0.14
12424,0.1
12425,0.116
12426,0.35
12427,0.134
12428,0.264
12429,0.364
12430,0.232
12431,0.478
12432,0.81
12433,0.206
12434,0.332
12435,0.418
12436,0.286
12437,0.364
12438,0.178
12439,0.266
12440,0.264
12441,0.218
12442,0.262
12443,0.214
12444,0.35
12445,0.228
12446,0.166
12447,0.538
12448,0.678
12449,0.212
12450,0.132
12451,0.144
12452,0.146
12453,0.106
12454,0.116
12455,0.29
12456,0.824
12457,0.06
12458,0.186
12459,0.342
12460,0.094
12461,0.842
12462,0.13
12463,0.4
12464,0.338
12465,0.248
12466,0.372
12467,0.84
12468,0.17
12469,0.17
12470,0.344
12471,0.702
12472,0.206
12473,0.27
12474,0.236
12475,0.362
12476,0.116
12477,0.218
12478,0.298
12479,0.558
12480,0.376
12481,0.416
12482,0.226
12483,0.43
12484,0.254
12485,0.224
12486,0.55
12487,0.25
12488,0.136
12489,0.106
12490,0.67
12491,0.584
12492,0.492
12493,0.484
12494,0.192
12495,0.148
12496,0.43
12497,0.51
12498,0.846
12499,0.396
12500,0.322
12501,0.294
12502,0.528
12503,0.326
12504,0.402
12505,0.32
12506,0.278
12507,0.532
12508,0.286
12509,0.31
12510,0.282
12511,0.236
12512,0.368
12513,0.294
12514,0.284
12515,0.274
12516,0.342
12517,0.31
12518,0.354
12519,0.256
12520,0.296
12521,0.206
12522,0.356
12523,0.242
12524,0.34
12525,0.164
12526,0.294
12527,0.214
12528,0.28
12529,0.342
12530,0.194
12531,0.184
12532,0.27
12533,0.212
12534,0.54
12535,0.416
12536,0.098
12537,0.188
12538,0.066
12539,0.2
12540,0.194
12541,0.07
12542,0.242
12543,0.43
12544,0.212
12545,0.278
12546,0.286
12547,0.236
12548,0.13
12549,0.32
12550,0.29
12551,0.544
12552,0.134
12553,0.452
12554,0.374
12555,0.532
12556,0.526
12557,0.34
12558,0.49
12559,0.82
12560,0.428
12561,0.264
12562,0.3
12563,0.394
12564,0.482
12565,0.384
12566,0.828
12567,0.854
12568,0.786
12569,0.632
12570,0.514
12571,0.776
12572,0.754
12573,0.732
12574,0.262
12575,0.5
12576,0.47
12577,0.808
12578,0.508
12579,0.47
12580,0.422
12581,0.8
12582,0.374
12583,0.41
12584,0.522
12585,0.304
12586,0.804
12587,0.374
12588,0.808
12589,0.522
12590,0.482
12591,0.426
12592,0.754
12593,0.258
12594,0.362
12595,0.838
12596,0.718
12597,0.87
12598,0.254
12599,0.792
12600,0.286
12601,0.666
12602,0.506
12603,0.284
12604,0.144
12605,0.804
12606,0.8
12607,0.334
12608,0.746
12609,0.472
12610,0.26
12611,0.74
12612,0.732
12613,0.186
12614,0.346
12615,0.37
12616,0.378
12617,0.208
12618,0.128
12619,0.508
12620,0.266
12621,0.858
12622,0.226
12623,0.832
12624,0.272
12625,0.398
12626,0.26
12627,0.408
12628,0.32
12629,0.22
12630,0.492
12631,0.404
12632,0.162
12633,0.05
12634,0.252
12635,0.824
12636,0.496
12637,0.364
12638,0.332
12639,0.828
12640,0.198
12641,0.282
12642,0.466
12643,0.464
12644,0.46
12645,0.538
12646,0.288
12647,0.538
12648,0.806
12649,0.788
12650,0.346
12651,0.274
12652,0.154
12653,0.654
12654,0.328
12655,0.37
12656,0.474
12657,0.34
12658,0.414
12659,0.268
